X,SimNet_simple.Receiver.udpApp[0]/endToEndDelay:vector
10.002976192,0.0479762
10.007932192,0.0479322
10.012888192,0.0478882
10.017844192,0.0478442
10.022800192,0.0478002
10.027756192,0.0477562
10.032712192,0.0477122
10.037668192,0.0476682
10.042624192,0.0476242
10.048520192,0.0485202
10.054016192,0.0490162
10.058972192,0.0489722
10.063928192,0.0489282
10.068884192,0.0488842
10.073840192,0.0488402
10.078796192,0.0487962
10.083752192,0.0487522
10.088708192,0.0487082
10.093664192,0.0486642
10.098620192,0.0486202
10.103576192,0.0485762
10.108532192,0.0485322
10.113488192,0.0484882
10.118444192,0.0484442
10.123400192,0.0484002
10.128356192,0.0483562
10.133312192,0.0483122
10.138268192,0.0482682
10.143224192,0.0482242
10.148180192,0.0481802
10.153676192,0.0486762
10.158632192,0.0486322
10.163588192,0.0485882
10.168544192,0.0485442
10.173500192,0.0485002
10.178456192,0.0484562
10.183412192,0.0484122
10.188368192,0.0483682
10.193324192,0.0483242
10.198280192,0.0482802
10.203236192,0.0482362
10.208192192,0.0481922
10.213148192,0.0481482
10.218104192,0.0481042
10.223060192,0.0480602
10.228016192,0.0480162
10.232972192,0.0479722
10.237928192,0.0479282
10.242884192,0.0478842
10.248780192,0.0487802
10.254276192,0.0492762
10.259232192,0.0492322
10.264188192,0.0491882
10.269144192,0.0491442
10.274100192,0.0491002
10.279056192,0.0490562
10.284012192,0.0490122
10.288968192,0.0489682
10.293924192,0.0489242
10.298880192,0.0488802
10.303836192,0.0488362
10.308792192,0.0487922
10.313748192,0.0487482
10.318704192,0.0487042
10.323660192,0.0486602
10.328616192,0.0486162
10.333572192,0.0485722
10.338528192,0.0485282
10.343484192,0.0484842
10.348440192,0.0484402
10.353936192,0.0489362
10.358892192,0.0488922
10.363848192,0.0488482
10.368804192,0.0488042
10.373760192,0.0487602
10.378716192,0.0487162
10.383672192,0.0486722
10.388628192,0.0486282
10.393584192,0.0485842
10.398540192,0.0485402
10.403496192,0.0484962
10.408452192,0.0484522
10.413408192,0.0484082
10.418364192,0.0483642
10.423320192,0.0483202
10.428276192,0.0482762
10.433232192,0.0482322
10.438188192,0.0481882
10.443144192,0.0481442
10.449040192,0.0490402
10.454536192,0.0495362
10.459492192,0.0494922
10.464448192,0.0494482
10.469404192,0.0494042
10.474360192,0.0493602
10.479316192,0.0493162
10.484272192,0.0492722
10.489228192,0.0492282
10.494184192,0.0491842
10.499140192,0.0491402
10.504096192,0.0490962
10.509052192,0.0490522
10.514008192,0.0490082
10.518964192,0.0489642
10.523920192,0.0489202
10.528876192,0.0488762
10.533832192,0.0488322
10.538788192,0.0487882
10.543744192,0.0487442
10.548700192,0.0487002
10.554196192,0.0491962
10.559152192,0.0491522
10.564108192,0.0491082
10.569064192,0.0490642
10.574020192,0.0490202
10.578976192,0.0489762
10.583932192,0.0489322
10.588888192,0.0488882
10.593844192,0.0488442
10.598800192,0.0488002
10.603756192,0.0487562
10.608712192,0.0487122
10.613668192,0.0486682
10.618624192,0.0486242
10.623580192,0.0485802
10.628536192,0.0485362
10.633492192,0.0484922
10.638448192,0.0484482
10.643404192,0.0484042
10.649300192,0.0493002
10.654796192,0.0497962
10.659752192,0.0497522
10.664708192,0.0497082
10.669664192,0.0496642
10.674620192,0.0496202
10.679576192,0.0495762
10.684532192,0.0495322
10.689488192,0.0494882
10.694444192,0.0494442
10.699400192,0.0494002
10.704356192,0.0493562
