X,SimNet_simple.Receiver.udpApp[0]/endToEndDelay:vector
10.000448192,0.0304482
10.005404192,0.0304042
10.010360192,0.0303602
10.015316192,0.0303162
10.020272192,0.0302722
10.026168192,0.0311682
10.031124192,0.0311242
10.036080192,0.0310802
10.041036192,0.0310362
10.045992192,0.0309922
10.050948192,0.0309482
10.055904192,0.0309042
10.060860192,0.0308602
10.065816192,0.0308162
10.070772192,0.0307722
10.075728192,0.0307282
10.080684192,0.0306842
10.085640192,0.0306402
10.091136192,0.0311362
10.096092192,0.0310922
10.101048192,0.0310482
10.106004192,0.0310042
10.110960192,0.0309602
10.115916192,0.0309162
10.120872192,0.0308722
10.125828192,0.0308282
10.130784192,0.0307842
10.135740192,0.0307402
10.140696192,0.0306962
10.145652192,0.0306522
10.150608192,0.0306082
10.155564192,0.0305642
10.160520192,0.0305202
10.165476192,0.0304762
10.170432192,0.0304322
10.175388192,0.0303882
10.180344192,0.0303442
10.185300192,0.0303002
10.190796192,0.0307962
10.195752192,0.0307522
10.200708192,0.0307082
10.205664192,0.0306642
10.210620192,0.0306202
10.215576192,0.0305762
10.220532192,0.0305322
10.226428192,0.0314282
10.231384192,0.0313842
10.236340192,0.0313402
10.241296192,0.0312962
10.246252192,0.0312522
10.251208192,0.0312082
10.256164192,0.0311642
10.261120192,0.0311202
10.266076192,0.0310762
10.271032192,0.0310322
10.275988192,0.0309882
10.280944192,0.0309442
10.286440192,0.0314402
10.291396192,0.0313962
10.296352192,0.0313522
10.301308192,0.0313082
10.306264192,0.0312642
10.311220192,0.0312202
10.316176192,0.0311762
10.321132192,0.0311322
10.326088192,0.0310882
10.331044192,0.0310442
10.336000192,0.0310002
10.340956192,0.0309562
10.345912192,0.0309122
10.350868192,0.0308682
10.355824192,0.0308242
10.360780192,0.0307802
10.365736192,0.0307362
10.370692192,0.0306922
10.375648192,0.0306482
10.380604192,0.0306042
10.386100192,0.0311002
10.391056192,0.0310562
10.396012192,0.0310122
10.400968192,0.0309682
10.405924192,0.0309242
10.410880192,0.0308802
10.415836192,0.0308362
10.420792192,0.0307922
10.426688192,0.0316882
10.431644192,0.0316442
10.436600192,0.0316002
10.441556192,0.0315562
10.446512192,0.0315122
10.451468192,0.0314682
10.456424192,0.0314242
10.461380192,0.0313802
10.466336192,0.0313362
10.471292192,0.0312922
10.476248192,0.0312482
10.481204192,0.0312042
10.486700192,0.0317002
10.491656192,0.0316562
10.496612192,0.0316122
10.501568192,0.0315682
10.506524192,0.0315242
10.511480192,0.0314802
10.516436192,0.0314362
10.521392192,0.0313922
10.526348192,0.0313482
10.531304192,0.0313042
10.536260192,0.0312602
10.541216192,0.0312162
10.546172192,0.0311722
10.551128192,0.0311282
10.556084192,0.0310842
10.561040192,0.0310402
10.565996192,0.0309962
10.570952192,0.0309522
10.575908192,0.0309082
10.580864192,0.0308642
10.586360192,0.0313602
10.591316192,0.0313162
10.596272192,0.0312722
10.601228192,0.0312282
10.606184192,0.0311842
10.611140192,0.0311402
10.616096192,0.0310962
10.621052192,0.0310522
10.626948192,0.0319482
10.631904192,0.0319042
10.636860192,0.0318602
10.641816192,0.0318162
10.646772192,0.0317722
10.651728192,0.0317282
10.656684192,0.0316842
10.661640192,0.0316402
10.666596192,0.0315962
10.671552192,0.0315522
10.676508192,0.0315082
10.681464192,0.0314642
10.686960192,0.0319602
10.691916192,0.0319162
10.696872192,0.0318722
10.701828192,0.0318282
10.706784192,0.0317842
10.711740192,0.0317402
10.716696192,0.0316962
10.721652192,0.0316522
10.726608192,0.0316082
10.731564192,0.0315642
10.736520192,0.0315202
10.741476192,0.0314762
10.746432192,0.0314322
10.751388192,0.0313882
10.756344192,0.0313442
10.761300192,0.0313002
10.766256192,0.0312562
10.771212192,0.0312122
10.776168192,0.0311682
10.781124192,0.0311242
10.786620192,0.0316202
10.791576192,0.0315762
10.796532192,0.0315322
10.801488192,0.0314882
10.806444192,0.0314442
10.811400192,0.0314002
10.816356192,0.0313562
10.821312192,0.0313122
10.827208192,0.0322082
10.832164192,0.0321642
10.837120192,0.0321202
10.842076192,0.0320762
10.847032192,0.0320322
10.851988192,0.0319882
10.856944192,0.0319442
10.861900192,0.0319002
10.866856192,0.0318562
10.871812192,0.0318122
10.876768192,0.0317682
10.881724192,0.0317242
10.887220192,0.0322202
10.892176192,0.0321762
10.897132192,0.0321322
10.902088192,0.0320882
10.907044192,0.0320442
10.912000192,0.0320002
10.916956192,0.0319562
10.921912192,0.0319122
10.926868192,0.0318682
10.931824192,0.0318242
10.936780192,0.0317802
10.941736192,0.0317362
10.946692192,0.0316922
10.951648192,0.0316482
10.956604192,0.0316042
10.961560192,0.0315602
10.966516192,0.0315162
10.971472192,0.0314722
10.976428192,0.0314282
10.981384192,0.0313842
10.986880192,0.0318802
10.991836192,0.0318362
10.996792192,0.0317922
11.001748192,0.0317482
11.006704192,0.0317042
11.011660192,0.0316602
11.016616192,0.0316162
11.021572192,0.0315722
11.027468192,0.0324682
11.032424192,0.0324242
11.037380192,0.0323802
11.042336192,0.0323362
11.047292192,0.0322922
11.052248192,0.0322482
11.057204192,0.0322042
11.062160192,0.0321602
11.067116192,0.0321162
11.072072192,0.0320722
11.077028192,0.0320282
11.081984192,0.0319842
11.087480192,0.0324802
11.092436192,0.0324362
11.097392192,0.0323922
11.102348192,0.0323482
11.107304192,0.0323042
11.112260192,0.0322602
11.117216192,0.0322162
11.122172192,0.0321722
11.127128192,0.0321282
11.132084192,0.0320842
11.137040192,0.0320402
11.141996192,0.0319962
11.146952192,0.0319522
11.151908192,0.0319082
11.156864192,0.0318642
11.161820192,0.0318202
11.166776192,0.0317762
11.171732192,0.0317322
11.176688192,0.0316882
11.181644192,0.0316442
11.187140192,0.0321402
11.192096192,0.0320962
11.197052192,0.0320522
11.202008192,0.0320082
11.206964192,0.0319642
11.211920192,0.0319202
11.216876192,0.0318762
11.221832192,0.0318322
11.227728192,0.0327282
11.232684192,0.0326842
11.237640192,0.0326402
11.242596192,0.0325962
11.247552192,0.0325522
11.252508192,0.0325082
11.257464192,0.0324642
11.262420192,0.0324202
11.267376192,0.0323762
11.272332192,0.0323322
11.277288192,0.0322882
11.282244192,0.0322442
11.287740192,0.0327402
11.292696192,0.0326962
11.297652192,0.0326522
11.302608192,0.0326082
11.307564192,0.0325642
