X,SimNet_simple.sPDC.udpApp[0]/endToEndDelay:vector
2.020946096,0.0209461
2.260126096,0.0601261
2.499306096,0.0993061
2.738666096,0.138666
2.977846096,0.177846
3.217026096,0.217026
3.456206096,0.256206
3.695386096,0.295386
3.934566096,0.334566
4.173746096,0.373746
4.412926096,0.412926
4.652106096,0.452106
4.927922096,0.527922
5.143278096,0.543278
5.370546096,0.570546
5.603770096,0.60377
6.009718096,0.609718
6.207206096,0.607206
6.404694096,0.604694
6.602182096,0.602182
6.799670096,0.59967
7.003114096,0.603114
7.200602096,0.600602
7.404046096,0.604046
7.601534096,0.601534
7.804978096,0.604978
8.002466096,0.602466
8.199954096,0.599954
8.403398096,0.603398
8.600886096,0.600886
8.804330096,0.60433
9.001818096,0.601818
9.205262096,0.605262
9.402750096,0.60275
9.594822096,0.594822
9.787434096,0.587434
9.979506096,0.579506
10.188906096,0.588906
10.387474096,0.587474
10.585502096,0.585502
10.783530096,0.58353
10.982098096,0.582098
11.186082096,0.586082
11.384110096,0.58411
11.593510096,0.59351
11.791538096,0.591538
11.995522096,0.595522
12.193010096,0.59301
12.396454096,0.596454
12.595022096,0.595022
12.787094096,0.587094
12.984582096,0.584582
13.189106096,0.589106
13.387134096,0.587134
13.585162096,0.585162
13.794562096,0.594562
13.992590096,0.59259
14.393662096,0.593662
14.591690096,0.59169
14.790258096,0.590258
14.987746096,0.587746
15.185774096,0.585774
15.587386096,0.587386
15.796786096,0.596786
15.994814096,0.594814
16.192842096,0.592842
16.384914096,0.584914
16.594314096,0.594314
16.792342096,0.592342
17.193414096,0.593414
17.391442096,0.591442
17.590010096,0.59001
17.787498096,0.587498
17.990942096,0.590942
18.195466096,0.595466
18.387538096,0.587538
18.590982096,0.590982
18.794966096,0.594966
18.992994096,0.592994
19.185066096,0.585066
19.394466096,0.594466
19.592494096,0.592494
19.993566096,0.593566
20.186178096,0.586178
20.384746096,0.584746
20.582234096,0.582234
20.786218096,0.586218
21.187830096,0.58783
21.385858096,0.585858
21.782054096,0.582054
21.986038096,0.586038
22.184606096,0.584606
22.382634096,0.582634
22.580662096,0.580662
22.982814096,0.582814
23.192214096,0.592214
23.604658096,0.604658
23.796730096,0.59673
23.994218096,0.594218
24.192246096,0.592246
24.384858096,0.584858
24.588302096,0.588302
24.786330096,0.58633
25.182526096,0.582526
25.385970096,0.58597
25.793538096,0.593538
25.985610096,0.58561
26.195010096,0.59501
26.393038096,0.593038
26.591066096,0.591066
26.794510096,0.59451
26.992538096,0.592538
27.185150096,0.58515
27.388594096,0.588594
27.586622096,0.586622
27.988234096,0.588234
28.191678096,0.591678
28.401078096,0.601078
28.593690096,0.59369
28.785762096,0.585762
28.977834096,0.577834
29.187774096,0.587774
29.391758096,0.591758
29.584370096,0.58437
29.782398096,0.582398
29.980426096,0.580426
30.184950096,0.58495
30.377562096,0.577562
30.586962096,0.586962
30.790946096,0.590946
30.989514096,0.589514
31.181586096,0.581586
31.385570096,0.58557
31.594970096,0.59497
31.792998096,0.592998
31.985226096,0.585226
32.183254096,0.583254
32.386698096,0.586698
32.596638096,0.596638
32.789250096,0.58925
32.981322096,0.581322
33.178990096,0.57899
33.383514096,0.583514
33.581542096,0.581542
33.785526096,0.585526
33.994926096,0.594926
34.192954096,0.592954
34.390982096,0.590982
34.589010096,0.58901
34.792454096,0.592454
