X,SimNet_simple.Receiver.udpApp[0]/endToEndDelay:vector
10.005656192,0.575656
10.011612192,0.571612
10.017568192,0.572568
10.023524192,0.573524
10.029480192,0.57448
10.035436192,0.575436
10.041392192,0.571392
10.047348192,0.572348
10.053304192,0.573304
10.059260192,0.57426
10.065216192,0.575216
10.071172192,0.571172
10.077668192,0.567668
10.083624192,0.568624
10.089580192,0.56958
10.095536192,0.565536
10.101492192,0.566492
10.107448192,0.567448
10.113404192,0.568404
10.119360192,0.56936
10.125316192,0.570316
10.131272192,0.566272
10.137228192,0.567228
10.143184192,0.568184
10.149140192,0.56914
10.155096192,0.570096
10.161052192,0.571052
10.167008192,0.572008
10.173904192,0.568904
10.179860192,0.56986
10.185816192,0.565816
10.191772192,0.566772
10.197728192,0.567728
10.203684192,0.568684
10.209640192,0.56964
10.215596192,0.565596
10.221552192,0.566552
10.227508192,0.567508
10.233464192,0.568464
10.239420192,0.56942
10.245376192,0.565376
10.251332192,0.566332
10.257288192,0.567288
10.263244192,0.568244
10.269200192,0.5692
10.275156192,0.570156
10.281112192,0.566112
10.287068192,0.567068
10.293024192,0.568024
10.298980192,0.56898
10.304936192,0.569936
10.310892192,0.565892
10.316848192,0.566848
10.322804192,0.567804
10.328760192,0.56876
10.334716192,0.569716
10.340672192,0.565672
10.346628192,0.566628
10.352584192,0.567584
10.358540192,0.56854
10.364496192,0.569496
10.371392192,0.571392
10.377888192,0.567888
10.383844192,0.568844
10.389800192,0.5698
10.395756192,0.565756
10.401712192,0.566712
10.407668192,0.567668
10.413624192,0.568624
10.419580192,0.56958
10.425536192,0.565536
10.431492192,0.566492
10.437448192,0.567448
10.443404192,0.568404
10.449360192,0.56936
10.455316192,0.570316
10.461272192,0.566272
10.467228192,0.567228
10.473184192,0.568184
10.479140192,0.56914
10.485096192,0.570096
10.491052192,0.566052
10.497008192,0.567008
10.502964192,0.567964
10.508920192,0.56892
10.514876192,0.569876
10.520832192,0.565832
10.526788192,0.566788
10.532744192,0.567744
10.538700192,0.5687
10.544656192,0.569656
10.550612192,0.570612
10.556568192,0.571568
10.562524192,0.572524
10.568480192,0.57348
10.575376192,0.575376
10.581332192,0.571332
10.587288192,0.572288
10.593244192,0.573244
10.599200192,0.5742
10.605156192,0.575156
10.611112192,0.571112
10.617068192,0.572068
10.623024192,0.573024
10.628980192,0.57398
10.634936192,0.574936
10.640892192,0.570892
10.646848192,0.571848
10.652804192,0.572804
10.658760192,0.57376
10.664716192,0.574716
10.670672192,0.575672
10.676628192,0.576628
10.683124192,0.573124
10.689080192,0.57408
10.695036192,0.575036
10.700992192,0.570992
10.706948192,0.571948
10.712904192,0.572904
10.718860192,0.57386
10.724816192,0.574816
10.730772192,0.570772
10.736728192,0.571728
10.742684192,0.572684
10.748640192,0.57364
10.754596192,0.574596
10.760552192,0.575552
10.766508192,0.576508
10.772464192,0.577464
10.779360192,0.57436
10.785316192,0.575316
10.791272192,0.571272
10.797228192,0.572228
10.803184192,0.573184
10.809140192,0.57414
10.815096192,0.575096
10.821052192,0.571052
10.827008192,0.572008
10.832964192,0.572964
10.838920192,0.57392
10.844876192,0.574876
10.850832192,0.570832
10.856788192,0.571788
10.862744192,0.572744
10.868700192,0.5737
10.874656192,0.574656
10.880612192,0.575612
10.886568192,0.571568
10.892524192,0.572524
10.898480192,0.57348
10.904436192,0.574436
10.910392192,0.575392
10.916348192,0.571348
10.922304192,0.572304
10.928260192,0.57326
10.934216192,0.574216
10.940172192,0.575172
10.946128192,0.576128
10.952084192,0.577084
10.958040192,0.57804
10.963996192,0.578996
10.969952192,0.579952
10.975908192,0.580908
10.983344192,0.573344
10.989300192,0.5743
10.995256192,0.575256
11.001212192,0.571212
11.007168192,0.572168
11.013124192,0.573124
11.019080192,0.57408
11.025036192,0.575036
11.030992192,0.570992
11.036948192,0.571948
11.042904192,0.572904
11.048860192,0.57386
11.054816192,0.574816
11.060772192,0.570772
11.066728192,0.571728
11.072684192,0.572684
11.078640192,0.57364
11.084596192,0.574596
11.090552192,0.575552
11.096508192,0.571508
11.102464192,0.572464
11.108420192,0.57342
11.114376192,0.574376
11.120332192,0.575332
11.126288192,0.571288
11.132244192,0.572244
11.138200192,0.5732
11.144156192,0.574156
11.150112192,0.575112
11.156068192,0.576068
11.162024192,0.577024
11.167980192,0.57798
11.173936192,0.578936
11.180832192,0.570832
11.186788192,0.571788
11.192744192,0.572744
11.198700192,0.5737
