X,SimNet_simple.Receiver.udpApp[0]/endToEndDelay:vector
10.003352192,0.588352
10.009308192,0.589308
10.015264192,0.590264
10.021220192,0.58622
10.027176192,0.587176
10.033132192,0.588132
10.039088192,0.589088
10.045044192,0.590044
10.051000192,0.586
10.056956192,0.586956
10.062912192,0.587912
10.068868192,0.588868
10.074824192,0.589824
10.080780192,0.58578
10.086736192,0.586736
10.092692192,0.587692
10.098648192,0.588648
10.104604192,0.589604
10.110560192,0.58556
10.116516192,0.586516
10.122472192,0.587472
10.128428192,0.588428
10.134384192,0.589384
10.140340192,0.58534
10.146296192,0.586296
10.152252192,0.587252
10.158208192,0.588208
10.164164192,0.589164
10.170120192,0.59012
10.176076192,0.591076
10.182032192,0.592032
10.187988192,0.592988
10.194884192,0.594884
10.201380192,0.58638
10.207336192,0.587336
10.213292192,0.588292
10.219248192,0.589248
10.225204192,0.590204
10.231160192,0.58616
10.237116192,0.587116
10.243072192,0.588072
10.249028192,0.589028
10.254984192,0.589984
10.260940192,0.58594
10.266896192,0.586896
10.272852192,0.587852
10.278808192,0.588808
10.284764192,0.589764
10.290720192,0.59072
10.297216192,0.587216
10.303172192,0.588172
10.309128192,0.589128
10.315084192,0.590084
10.321040192,0.58604
10.326996192,0.586996
10.332952192,0.587952
10.338908192,0.588908
10.344864192,0.589864
10.350820192,0.58582
10.356776192,0.586776
10.362732192,0.587732
10.368688192,0.588688
10.374644192,0.589644
10.380600192,0.5906
10.386556192,0.591556
10.393992192,0.583992
10.399948192,0.579948
10.405904192,0.580904
10.411860192,0.58186
10.417816192,0.582816
10.423772192,0.583772
10.429728192,0.584728
10.435684192,0.580684
10.441640192,0.58164
10.447596192,0.582596
10.453552192,0.583552
10.459508192,0.584508
10.465464192,0.585464
10.471420192,0.58642
10.477376192,0.587376
10.483332192,0.588332
10.489288192,0.589288
10.495244192,0.590244
10.501200192,0.5862
10.507156192,0.587156
10.513112192,0.588112
10.519068192,0.589068
10.525024192,0.590024
10.530980192,0.58598
10.536936192,0.586936
10.542892192,0.587892
10.548848192,0.588848
10.554804192,0.589804
10.560760192,0.59076
10.566716192,0.591716
10.572672192,0.592672
10.578628192,0.593628
10.584584192,0.594584
10.592020192,0.58202
10.597976192,0.582976
10.603932192,0.583932
10.609888192,0.584888
10.615844192,0.580844
10.621800192,0.5818
10.627756192,0.582756
10.633712192,0.583712
10.639668192,0.584668
10.645624192,0.580624
10.651580192,0.58158
10.657536192,0.582536
10.663492192,0.583492
10.669448192,0.584448
10.675404192,0.580404
10.681360192,0.58136
10.687316192,0.582316
10.693272192,0.583272
10.699228192,0.584228
10.705184192,0.580184
10.711140192,0.58114
10.717096192,0.582096
10.723052192,0.583052
10.729008192,0.584008
10.734964192,0.579964
10.740920192,0.58092
10.746876192,0.581876
10.752832192,0.582832
10.758788192,0.583788
10.764744192,0.584744
10.770700192,0.5857
10.776656192,0.586656
10.782612192,0.587612
10.789508192,0.589508
10.796004192,0.581004
10.801960192,0.58196
10.807916192,0.582916
10.813872192,0.583872
10.819828192,0.584828
10.825784192,0.580784
10.831740192,0.58174
10.837696192,0.582696
10.843652192,0.583652
10.849608192,0.584608
10.855564192,0.580564
10.861520192,0.58152
10.867476192,0.582476
10.873432192,0.583432
10.879388192,0.584388
