X,SimNet_simple.sPDC.udpApp[0]/endToEndDelay:vector
2.040946096,0.0409461
2.280126096,0.0801261
2.519306096,0.119306
2.758666096,0.158666
2.997846096,0.197846
3.237026096,0.237026
3.476206096,0.276206
3.715386096,0.315386
3.954566096,0.354566
4.193746096,0.393746
4.432926096,0.432926
4.672106096,0.472106
4.911286096,0.511286
5.150466096,0.550466
5.389646096,0.589646
5.622870096,0.62287
5.826314096,0.626314
6.023802096,0.623802
6.221290096,0.62129
6.407386096,0.607386
6.588554096,0.588554
6.774650096,0.57465
6.990006096,0.590006
7.205362096,0.605362
7.629178096,0.629178
7.826666096,0.626666
8.024154096,0.624154
8.221642096,0.621642
8.419130096,0.61913
8.622574096,0.622574
8.820062096,0.620062
9.023506096,0.623506
9.220994096,0.620994
9.424438096,0.624438
9.621926096,0.621926
9.819414096,0.619414
10.022858096,0.622858
10.220346096,0.620346
10.423790096,0.62379
10.621278096,0.621278
10.824722096,0.624722
11.022210096,0.62221
11.214282096,0.614282
11.417726096,0.617726
11.609798096,0.609798
11.813782096,0.613782
12.011270096,0.61127
12.209838096,0.609838
12.413282096,0.613282
12.610770096,0.61077
12.820710096,0.62071
13.018198096,0.618198
13.419270096,0.61927
13.616758096,0.616758
13.814786096,0.614786
14.012814096,0.612814
14.204886096,0.604886
14.408870096,0.60887
14.612314096,0.612314
15.019342096,0.619342
15.216830096,0.61683
15.414858096,0.614858
15.612886096,0.612886
15.804958096,0.604958
16.003526096,0.603526
16.206970096,0.60697
16.619954096,0.619954
16.817442096,0.617442
17.015470096,0.61547
17.213498096,0.613498
17.405570096,0.60557
17.604138096,0.604138
17.807582096,0.607582
18.011026096,0.611026
18.226382096,0.626382
18.423870096,0.62387
18.621358096,0.621358
18.818846096,0.618846
19.022290096,0.62229
19.214362096,0.614362
19.417806096,0.617806
19.609878096,0.609878
19.813862096,0.613862
20.011350096,0.61135
20.209918096,0.609918
20.413362096,0.613362
20.610850096,0.61085
20.820790096,0.62079
21.018278096,0.618278
21.419350096,0.61935
21.616838096,0.616838
21.814866096,0.614866
22.012894096,0.612894
22.204966096,0.604966
22.403534096,0.603534
22.606978096,0.606978
23.019962096,0.619962
23.217450096,0.61745
23.415478096,0.615478
23.613506096,0.613506
23.810994096,0.610994
24.009562096,0.609562
24.213006096,0.613006
24.410494096,0.610494
24.620434096,0.620434
24.817922096,0.617922
25.218994096,0.618994
25.416482096,0.616482
25.614510096,0.61451
25.817954096,0.617954
26.010026096,0.610026
26.214010096,0.61401
26.411498096,0.611498
26.615482096,0.615482
26.818926096,0.618926
27.016414096,0.616414
27.214982096,0.614982
27.412470096,0.61247
27.604542096,0.604542
27.814482096,0.614482
28.011970096,0.61197
28.418998096,0.618998
28.616486096,0.616486
28.809098096,0.609098
29.012542096,0.612542
29.204614096,0.604614
29.409138096,0.609138
29.606626096,0.606626
30.019610096,0.61961
30.217098096,0.617098
30.415126096,0.615126
30.613154096,0.613154
30.805226096,0.605226
31.003794096,0.603794
31.207238096,0.607238
31.620222096,0.620222
31.817710096,0.61771
32.212982096,0.612982
32.410470096,0.61047
32.614454096,0.614454
32.817898096,0.617898
33.224386096,0.624386
33.421874096,0.621874
33.614486096,0.614486
33.811974096,0.611974
34.009462096,0.609462
34.213986096,0.613986
34.411474096,0.611474
34.609502096,0.609502
34.818902096,0.618902
35.010974096,0.610974
35.214958096,0.614958
35.412446096,0.612446
35.819474096,0.619474
36.016962096,0.616962
36.214990096,0.61499
36.413018096,0.613018
36.610506096,0.610506
36.809074096,0.609074
37.012518096,0.612518
37.419546096,0.619546
37.617034096,0.617034
37.815062096,0.615062
38.013090096,0.61309
38.210578096,0.610578
38.409146096,0.609146
38.612590096,0.61259
39.019618096,0.619618
39.217106096,0.617106
39.409718096,0.609718
39.607746096,0.607746
39.799818096,0.599818
40.004342096,0.604342
40.207786096,0.607786
40.411230096,0.61123
40.829090096,0.62909
41.021162096,0.621162
41.218650096,0.61865
41.416138096,0.616138
41.608750096,0.60875
41.812194096,0.612194
42.004266096,0.604266
42.214206096,0.614206
42.411694096,0.611694
42.615678096,0.615678
42.813706096,0.613706
43.011194096,0.611194
43.215178096,0.615178
43.418622096,0.618622
43.610694096,0.610694
43.814678096,0.614678
44.012166096,0.612166
44.419194096,0.619194
44.616682096,0.616682
44.809294096,0.609294
45.007322096,0.607322
45.199394096,0.599394
45.403918096,0.603918
45.607362096,0.607362
45.810806096,0.610806
46.020746096,0.620746
46.218234096,0.618234
46.619306096,0.619306
46.816794096,0.616794
47.014822096,0.614822
47.212850096,0.61285
47.404922096,0.604922
47.603490096,0.60349
47.806934096,0.606934
48.219918096,0.619918
48.417406096,0.617406
48.615434096,0.615434
48.813462096,0.613462
49.005534096,0.605534
49.204102096,0.604102
49.407546096,0.607546
49.610990096,0.61099
49.826346096,0.626346
50.023834096,0.623834
50.215906096,0.615906
50.413394096,0.613394
50.616838096,0.616838
50.815406096,0.615406
51.012894096,0.612894
51.204966096,0.604966
51.409490096,0.60949
51.606978096,0.606978
52.019962096,0.619962
52.217450096,0.61745
52.415478096,0.615478
52.613506096,0.613506
52.805578096,0.605578
53.004146096,0.604146
53.207590096,0.60759
53.405618096,0.605618
53.620974096,0.620974
53.812790096,0.61279
54.016234096,0.616234
54.214262096,0.614262
54.412290096,0.61229
54.598946096,0.598946
54.802930096,0.60293
55.006374096,0.606374
55.419358096,0.619358
55.616846096,0.616846
55.814874096,0.614874
56.012902096,0.612902
56.204974096,0.604974
56.403542096,0.603542
56.606986096,0.606986
57.019970096,0.61997
57.217458096,0.617458
57.415486096,0.615486
57.613514096,0.613514
57.811002096,0.611002
58.009570096,0.60957
58.213014096,0.613014
58.405086096,0.605086
58.615026096,0.615026
58.812514096,0.612514
59.224958096,0.624958
59.422446096,0.622446
59.619934096,0.619934
59.817962096,0.617962
60.010034096,0.610034
60.213478096,0.613478
60.416922096,0.616922
60.615490096,0.61549
60.812978096,0.612978
61.005050096,0.60505
61.209574096,0.609574
61.407062096,0.607062
61.825462096,0.625462
62.022950096,0.62295
62.215022096,0.615022
62.413050096,0.61305
62.605122096,0.605122
62.803690096,0.60369
63.007134096,0.607134
63.414342096,0.614342
63.611830096,0.61183
64.018858096,0.618858
64.216346096,0.616346
64.408958096,0.608958
64.612402096,0.612402
64.804474096,0.604474
65.014414096,0.614414
65.211902096,0.611902
65.618626096,0.618626
65.816114096,0.616114
66.019558096,0.619558
66.223002096,0.623002
