X,SimNet_simple.sPDC.udpApp[0]/endToEndDelay:vector
2.020946096,0.0209461
2.220946096,0.0209461
2.420946096,0.0209461
2.620946096,0.0209461
2.820946096,0.0209461
3.020946096,0.0209461
3.220946096,0.0209461
3.420946096,0.0209461
3.620946096,0.0209461
3.823086096,0.0230861
4.024902096,0.0249021
4.224082096,0.0240821
4.423262096,0.0232621
4.622442096,0.0224421
4.821622096,0.0216221
5.025758096,0.0257581
5.225118096,0.0251181
5.424298096,0.0242981
5.623478096,0.0234781
5.822658096,0.0226581
6.021838096,0.0218381
6.221018096,0.0210181
6.425154096,0.0251541
6.624334096,0.0243341
6.823514096,0.0235141
7.022694096,0.0226941
7.221874096,0.0218741
7.421054096,0.0210541
7.625190096,0.0251901
7.824370096,0.0243701
8.023550096,0.0235501
8.223810096,0.0238101
8.424070096,0.0240701
8.624330096,0.0243301
8.824590096,0.0245901
9.024850096,0.0248501
9.225110096,0.0251101
9.425370096,0.0253701
9.625630096,0.0256301
9.825890096,0.0258901
10.021194096,0.0211941
10.221454096,0.0214541
10.421714096,0.0217141
10.621974096,0.0219741
10.822234096,0.0222341
11.022494096,0.0224941
11.222754096,0.0227541
11.423014096,0.0230141
11.623274096,0.0232741
11.823534096,0.0235341
12.023794096,0.0237941
12.224054096,0.0240541
12.424314096,0.0243141
12.624574096,0.0245741
12.824834096,0.0248341
13.025094096,0.0250941
13.225354096,0.0253541
13.425614096,0.0256141
13.625874096,0.0258741
13.821178096,0.0211781
14.021438096,0.0214381
14.221698096,0.0216981
14.421958096,0.0219581
14.622218096,0.0222181
14.822478096,0.0224781
15.022738096,0.0227381
15.222998096,0.0229981
15.423258096,0.0232581
15.623518096,0.0235181
15.823778096,0.0237781
16.024038096,0.0240381
16.224298096,0.0242981
16.424558096,0.0245581
16.624818096,0.0248181
16.825078096,0.0250781
17.025338096,0.0253381
17.225598096,0.0255981
17.425858096,0.0258581
17.621162096,0.0211621
17.821422096,0.0214221
18.021682096,0.0216821
18.221942096,0.0219421
18.422202096,0.0222021
18.622462096,0.0224621
18.822722096,0.0227221
19.022982096,0.0229821
19.223242096,0.0232421
19.423502096,0.0235021
19.623762096,0.0237621
19.824022096,0.0240221
20.024282096,0.0242821
20.224542096,0.0245421
20.424802096,0.0248021
20.625062096,0.0250621
20.825322096,0.0253221
21.025582096,0.0255821
21.225842096,0.0258421
21.421146096,0.0211461
21.621406096,0.0214061
21.821666096,0.0216661
22.021926096,0.0219261
22.222186096,0.0221861
22.422446096,0.0224461
22.622706096,0.0227061
22.822966096,0.0229661
23.023226096,0.0232261
23.223486096,0.0234861
23.423746096,0.0237461
23.624006096,0.0240061
23.824266096,0.0242661
24.024526096,0.0245261
24.224786096,0.0247861
24.425046096,0.0250461
24.625306096,0.0253061
24.825566096,0.0255661
25.025826096,0.0258261
25.221130096,0.0211301
25.421390096,0.0213901
25.621650096,0.0216501
25.821910096,0.0219101
26.022170096,0.0221701
26.222430096,0.0224301
26.422690096,0.0226901
26.622950096,0.0229501
26.823210096,0.0232101
27.023470096,0.0234701
27.223730096,0.0237301
27.423990096,0.0239901
27.624250096,0.0242501
27.824510096,0.0245101
28.024770096,0.0247701
28.225030096,0.0250301
28.425290096,0.0252901
28.625550096,0.0255501
28.825810096,0.0258101
29.021114096,0.0211141
29.221374096,0.0213741
29.421634096,0.0216341
29.621894096,0.0218941
29.822154096,0.0221541
30.022414096,0.0224141
30.222674096,0.0226741
30.422934096,0.0229341
30.623194096,0.0231941
30.823454096,0.0234541
31.023714096,0.0237141
31.223974096,0.0239741
31.424390096,0.0243901
31.624650096,0.0246501
31.824910096,0.0249101
32.025170096,0.0251701
32.225430096,0.0254301
32.425690096,0.0256901
32.620994096,0.0209941
32.821254096,0.0212541
33.021514096,0.0215141
33.221774096,0.0217741
33.422034096,0.0220341
33.622294096,0.0222941
33.822554096,0.0225541
34.022814096,0.0228141
34.223074096,0.0230741
34.423334096,0.0233341
34.623594096,0.0235941
34.823854096,0.0238541
35.024114096,0.0241141
35.224554096,0.0245541
35.424814096,0.0248141
35.625074096,0.0250741
35.825334096,0.0253341
36.025594096,0.0255941
36.225854096,0.0258541
36.421158096,0.0211581
36.621418096,0.0214181
36.821678096,0.0216781
37.021938096,0.0219381
