X,SimNet_simple.sPDC.udpApp[0]/endToEndDelay:vector
2.020946096,0.0209461
2.224390096,0.0243901
2.421878096,0.0218781
2.625502096,0.0255021
2.822990096,0.0229901
3.026434096,0.0264341
3.223922096,0.0239221
3.421410096,0.0214101
3.624854096,0.0248541
3.824338096,0.0243381
4.024054096,0.0240541
4.223594096,0.0235941
4.423194096,0.0231941
4.626638096,0.0266381
4.824126096,0.0241261
5.021614096,0.0216141
5.225058096,0.0250581
5.422546096,0.0225461
5.625990096,0.0259901
5.823478096,0.0234781
6.020966096,0.0209661
6.224410096,0.0244101
6.421898096,0.0218981
6.625342096,0.0253421
6.822830096,0.0228301
7.026274096,0.0262741
7.223762096,0.0237621
7.421250096,0.0212501
7.624694096,0.0246941
7.822182096,0.0221821
8.025626096,0.0256261
8.223114096,0.0231141
8.426558096,0.0265581
8.625126096,0.0251261
8.823694096,0.0236941
9.022262096,0.0222621
9.226786096,0.0267861
9.425354096,0.0253541
9.623922096,0.0239221
9.822490096,0.0224901
10.021058096,0.0210581
10.225582096,0.0255821
10.424150096,0.0241501
10.622718096,0.0227181
10.821286096,0.0212861
11.025810096,0.0258101
11.224378096,0.0243781
11.422946096,0.0229461
11.621514096,0.0215141
11.826038096,0.0260381
12.024606096,0.0246061
12.223174096,0.0231741
12.421742096,0.0217421
12.626266096,0.0262661
12.824834096,0.0248341
13.023402096,0.0234021
13.221970096,0.0219701
13.426494096,0.0264941
13.625062096,0.0250621
13.823630096,0.0236301
14.022198096,0.0221981
14.226722096,0.0267221
14.425290096,0.0252901
14.623858096,0.0238581
14.822426096,0.0224261
15.020994096,0.0209941
15.225518096,0.0255181
15.424086096,0.0240861
15.622654096,0.0226541
15.821222096,0.0212221
16.025746096,0.0257461
16.224314096,0.0243141
16.422882096,0.0228821
16.621450096,0.0214501
16.825974096,0.0259741
17.024542096,0.0245421
17.223110096,0.0231101
17.421678096,0.0216781
17.626202096,0.0262021
17.824770096,0.0247701
18.023338096,0.0233381
18.221906096,0.0219061
18.426430096,0.0264301
18.624998096,0.0249981
18.823566096,0.0235661
19.022134096,0.0221341
19.226658096,0.0266581
19.425226096,0.0252261
19.623794096,0.0237941
19.822362096,0.0223621
20.026886096,0.0268861
20.225454096,0.0254541
20.424022096,0.0240221
20.622590096,0.0225901
20.821158096,0.0211581
21.025682096,0.0256821
21.224250096,0.0242501
21.422818096,0.0228181
21.621386096,0.0213861
21.825910096,0.0259101
22.024478096,0.0244781
22.223046096,0.0230461
22.421614096,0.0216141
22.626138096,0.0261381
22.824706096,0.0247061
23.023274096,0.0232741
23.221842096,0.0218421
23.426366096,0.0263661
23.624934096,0.0249341
23.823502096,0.0235021
24.022070096,0.0220701
24.226594096,0.0265941
24.425162096,0.0251621
24.623730096,0.0237301
24.822298096,0.0222981
25.026822096,0.0268221
25.225390096,0.0253901
25.423958096,0.0239581
25.622526096,0.0225261
25.823326096,0.0233261
26.021894096,0.0218941
26.226418096,0.0264181
26.424986096,0.0249861
26.623554096,0.0235541
26.822122096,0.0221221
27.026646096,0.0266461
27.225214096,0.0252141
27.423782096,0.0237821
27.622350096,0.0223501
27.826874096,0.0268741
28.025442096,0.0254421
