X,SimNet_simple.Receiver.udpApp[0]/endToEndDelay:vector
10.001316192,0.0663162
10.006272192,0.0662722
10.011228192,0.0662282
10.016184192,0.0661842
10.021140192,0.0661402
10.026096192,0.0660962
10.031052192,0.0660522
10.036008192,0.0660082
10.040964192,0.0659642
10.045920192,0.0659202
10.050876192,0.0658762
10.055832192,0.0658322
10.060788192,0.0657882
10.066684192,0.0666842
10.071640192,0.0666402
10.076596192,0.0665962
10.081552192,0.0665522
10.086508192,0.0665082
10.091464192,0.0664642
10.096420192,0.0664202
10.101376192,0.0663762
10.106332192,0.0663322
10.111288192,0.0662882
10.116244192,0.0662442
10.121200192,0.0662002
10.126156192,0.0661562
10.131112192,0.0661122
10.136068192,0.0660682
10.141024192,0.0660242
10.145980192,0.0659802
10.150936192,0.0659362
10.155892192,0.0658922
10.160848192,0.0658482
10.165804192,0.0658042
10.170760192,0.0657602
10.175716192,0.0657162
10.180672192,0.0656722
10.185628192,0.0656282
10.190584192,0.0655842
10.195540192,0.0655402
10.200496192,0.0654962
10.205452192,0.0654522
10.210408192,0.0654082
10.215364192,0.0653642
10.220320192,0.0653202
10.225276192,0.0652762
10.230232192,0.0652322
10.235188192,0.0651882
10.240144192,0.0651442
10.245100192,0.0651002
10.250056192,0.0650562
10.255012192,0.0650122
10.259968192,0.0649682
10.265864192,0.0658642
10.270820192,0.0658202
10.275776192,0.0657762
10.280732192,0.0657322
10.285688192,0.0656882
10.290644192,0.0656442
10.295600192,0.0656002
10.300556192,0.0655562
10.305512192,0.0655122
10.310468192,0.0654682
10.315424192,0.0654242
10.320380192,0.0653802
10.325336192,0.0653362
10.330292192,0.0652922
10.335248192,0.0652482
10.340204192,0.0652042
10.345160192,0.0651602
10.350116192,0.0651162
10.355072192,0.0650722
10.360028192,0.0650282
10.364984192,0.0649842
10.369940192,0.0649402
10.374896192,0.0648962
10.379852192,0.0648522
10.384808192,0.0648082
10.389764192,0.0647642
10.394720192,0.0647202
10.399676192,0.0646762
10.404632192,0.0646322
10.409588192,0.0645882
10.414544192,0.0645442
10.419500192,0.0645002
10.424456192,0.0644562
10.429412192,0.0644122
10.434368192,0.0643682
10.439324192,0.0643242
10.444280192,0.0642802
10.449236192,0.0642362
10.454192192,0.0641922
10.459148192,0.0641482
10.465044192,0.0650442
10.470000192,0.0650002
10.474956192,0.0649562
10.479912192,0.0649122
10.484868192,0.0648682
10.489824192,0.0648242
10.494780192,0.0647802
10.499736192,0.0647362
10.504692192,0.0646922
10.509648192,0.0646482
10.514604192,0.0646042
10.519560192,0.0645602
10.524516192,0.0645162
10.529472192,0.0644722
10.534428192,0.0644282
10.539384192,0.0643842
10.544340192,0.0643402
10.549296192,0.0642962
10.554252192,0.0642522
10.559208192,0.0642082
10.564164192,0.0641642
10.569120192,0.0641202
10.574076192,0.0640762
10.579032192,0.0640322
10.583988192,0.0639882
10.588944192,0.0639442
10.593900192,0.0639002
10.598856192,0.0638562
10.603812192,0.0638122
10.608768192,0.0637682
10.613724192,0.0637242
10.618680192,0.0636802
10.623636192,0.0636362
10.628592192,0.0635922
10.633548192,0.0635482
10.638504192,0.0635042
10.643460192,0.0634602
10.648416192,0.0634162
10.653372192,0.0633722
10.658328192,0.0633282
10.664224192,0.0642242
10.669180192,0.0641802
10.674136192,0.0641362
10.679092192,0.0640922
10.684048192,0.0640482
10.689004192,0.0640042
10.693960192,0.0639602
10.698916192,0.0639162
10.703872192,0.0638722
10.708828192,0.0638282
10.713784192,0.0637842
10.718740192,0.0637402
10.723696192,0.0636962
10.728652192,0.0636522
10.733608192,0.0636082
10.738564192,0.0635642
10.743520192,0.0635202
10.748476192,0.0634762
10.753432192,0.0634322
10.758388192,0.0633882
10.763344192,0.0633442
10.768300192,0.0633002
10.773256192,0.0632562
10.778212192,0.0632122
10.783168192,0.0631682
10.788124192,0.0631242
10.793080192,0.0630802
10.798036192,0.0630362
10.802992192,0.0629922
10.807948192,0.0629482
10.812904192,0.0629042
10.817860192,0.0628602
10.822816192,0.0628162
10.827772192,0.0627722
10.832728192,0.0627282
10.837684192,0.0626842
10.842640192,0.0626402
10.847596192,0.0625962
10.852552192,0.0625522
10.857508192,0.0625082
10.863404192,0.0634042
10.868360192,0.0633602
10.873316192,0.0633162
10.878272192,0.0632722
10.883228192,0.0632282
10.888184192,0.0631842
10.893140192,0.0631402
10.898096192,0.0630962
10.903052192,0.0630522
10.908008192,0.0630082
10.912964192,0.0629642
10.917920192,0.0629202
10.922876192,0.0628762
10.927832192,0.0628322
10.932788192,0.0627882
10.937744192,0.0627442
10.942700192,0.0627002
10.947656192,0.0626562
10.952612192,0.0626122
10.957568192,0.0625682
10.962524192,0.0625242
10.967480192,0.0624802
10.972436192,0.0624362
10.977392192,0.0623922
10.982348192,0.0623482
10.987304192,0.0623042
10.992260192,0.0622602
10.997216192,0.0622162
11.002172192,0.0621722
11.007128192,0.0621282
11.012084192,0.0620842
11.017040192,0.0620402
11.021996192,0.0619962
11.026952192,0.0619522
11.031908192,0.0619082
11.036864192,0.0618642
11.041820192,0.0618202
11.046776192,0.0617762
11.051732192,0.0617322
11.056688192,0.0616882
11.062584192,0.0625842
11.067540192,0.0625402
11.072496192,0.0624962
11.077452192,0.0624522
11.082408192,0.0624082
11.087364192,0.0623642
11.092320192,0.0623202
11.097276192,0.0622762
11.102232192,0.0622322
11.107188192,0.0621882
11.112144192,0.0621442
11.117100192,0.0621002
11.122056192,0.0620562
11.127012192,0.0620122
11.131968192,0.0619682
11.136924192,0.0619242
11.141880192,0.0618802
11.146836192,0.0618362
11.151792192,0.0617922
11.156748192,0.0617482
11.161704192,0.0617042
11.166660192,0.0616602
11.171616192,0.0616162
11.176572192,0.0615722
11.181528192,0.0615282
11.186484192,0.0614842
11.191440192,0.0614402
11.196396192,0.0613962
11.201352192,0.0613522
11.206308192,0.0613082
11.211264192,0.0612642
11.216760192,0.0617602
11.221716192,0.0617162
11.226672192,0.0616722
11.231628192,0.0616282
11.236584192,0.0615842
11.241540192,0.0615402
11.246496192,0.0614962
11.251452192,0.0614522
11.256408192,0.0614082
11.262304192,0.0623042
11.267260192,0.0622602
11.272216192,0.0622162
11.277172192,0.0621722
11.282128192,0.0621282
11.287084192,0.0620842
11.292040192,0.0620402
11.296996192,0.0619962
11.301952192,0.0619522
11.306908192,0.0619082
11.311864192,0.0618642
11.317360192,0.0623602
11.322316192,0.0623162
11.327272192,0.0622722
11.332228192,0.0622282
11.337184192,0.0621842
11.342140192,0.0621402
11.347096192,0.0620962
11.352052192,0.0620522
11.357008192,0.0620082
11.361964192,0.0619642
11.366920192,0.0619202
11.371876192,0.0618762
11.376832192,0.0618322
11.381788192,0.0617882
11.386744192,0.0617442
11.391700192,0.0617002
11.396656192,0.0616562
11.401612192,0.0616122
11.406568192,0.0615682
11.411524192,0.0615242
11.417020192,0.0620202
11.421976192,0.0619762
11.426932192,0.0619322
11.431888192,0.0618882
11.436844192,0.0618442
11.441800192,0.0618002
11.446756192,0.0617562
11.451712192,0.0617122
11.456668192,0.0616682
11.462564192,0.0625642
11.467520192,0.0625202
11.472476192,0.0624762
11.477432192,0.0624322
11.482388192,0.0623882
11.487344192,0.0623442
11.492300192,0.0623002
11.497256192,0.0622562
11.502212192,0.0622122
11.507168192,0.0621682
11.512124192,0.0621242
11.517620192,0.0626202
11.522576192,0.0625762
11.527532192,0.0625322
11.532488192,0.0624882
11.537444192,0.0624442
11.542400192,0.0624002
11.547356192,0.0623562
11.552312192,0.0623122
11.557268192,0.0622682
11.562224192,0.0622242
11.567180192,0.0621802
11.572136192,0.0621362
11.577092192,0.0620922
11.582048192,0.0620482
11.587004192,0.0620042
11.591960192,0.0619602
11.596916192,0.0619162
11.601872192,0.0618722
11.606828192,0.0618282
11.611784192,0.0617842
11.617280192,0.0622802
11.622236192,0.0622362
11.627192192,0.0621922
11.632148192,0.0621482
11.637104192,0.0621042
11.642060192,0.0620602
11.647016192,0.0620162
11.651972192,0.0619722
11.656928192,0.0619282
11.662824192,0.0628242
11.667780192,0.0627802
11.672736192,0.0627362
11.677692192,0.0626922
11.682648192,0.0626482
11.687604192,0.0626042
11.692560192,0.0625602
11.697516192,0.0625162
11.702472192,0.0624722
11.707428192,0.0624282
11.712384192,0.0623842
11.717880192,0.0628802
11.722836192,0.0628362
11.727792192,0.0627922
11.732748192,0.0627482
11.737704192,0.0627042
11.742660192,0.0626602
11.747616192,0.0626162
11.752572192,0.0625722
11.757528192,0.0625282
11.762484192,0.0624842
11.767440192,0.0624402
11.772396192,0.0623962
11.777352192,0.0623522
11.782308192,0.0623082
11.787264192,0.0622642
11.792220192,0.0622202
11.797176192,0.0621762
11.802132192,0.0621322
11.807088192,0.0620882
11.812044192,0.0620442
11.817540192,0.0625402
11.822496192,0.0624962
11.827452192,0.0624522
11.832408192,0.0624082
11.837364192,0.0623642
11.842320192,0.0623202
11.847276192,0.0622762
11.852232192,0.0622322
11.857188192,0.0621882
11.863084192,0.0630842
11.868040192,0.0630402
11.872996192,0.0629962
11.877952192,0.0629522
11.882908192,0.0629082
11.887864192,0.0628642
11.892820192,0.0628202
11.897776192,0.0627762
11.902732192,0.0627322
11.907688192,0.0626882
11.912644192,0.0626442
11.918140192,0.0631402
11.923096192,0.0630962
11.928052192,0.0630522
11.933008192,0.0630082
11.937964192,0.0629642
11.942920192,0.0629202
11.947876192,0.0628762
11.952832192,0.0628322
11.957788192,0.0627882
11.962744192,0.0627442
11.967700192,0.0627002
11.972656192,0.0626562
11.977612192,0.0626122
11.982568192,0.0625682
11.987524192,0.0625242
11.992480192,0.0624802
11.997436192,0.0624362
12.002392192,0.0623922
12.007348192,0.0623482
12.012304192,0.0623042
12.017800192,0.0628002
12.022756192,0.0627562
12.027712192,0.0627122
12.032668192,0.0626682
12.037624192,0.0626242
12.042580192,0.0625802
12.047536192,0.0625362
12.052492192,0.0624922
12.057448192,0.0624482
12.063344192,0.0633442
12.068300192,0.0633002
12.073256192,0.0632562
12.078212192,0.0632122
12.083168192,0.0631682
12.088124192,0.0631242
12.093080192,0.0630802
12.098036192,0.0630362
12.102992192,0.0629922
12.107948192,0.0629482
12.112904192,0.0629042
12.118400192,0.0634002
12.123356192,0.0633562
12.128312192,0.0633122
12.133268192,0.0632682
12.138224192,0.0632242
12.143180192,0.0631802
12.148136192,0.0631362
12.153092192,0.0630922
12.158048192,0.0630482
12.163004192,0.0630042
12.167960192,0.0629602
12.172916192,0.0629162
12.177872192,0.0628722
12.182828192,0.0628282
12.187784192,0.0627842
12.192740192,0.0627402
12.197696192,0.0626962
12.202652192,0.0626522
12.207608192,0.0626082
12.212564192,0.0625642
12.218060192,0.0630602
12.223016192,0.0630162
12.227972192,0.0629722
12.232928192,0.0629282
12.237884192,0.0628842
12.242840192,0.0628402
12.247796192,0.0627962
12.252752192,0.0627522
12.257708192,0.0627082
12.263604192,0.0636042
12.268560192,0.0635602
12.273516192,0.0635162
12.278472192,0.0634722
12.283428192,0.0634282
12.288384192,0.0633842
12.293340192,0.0633402
12.298296192,0.0632962
12.303252192,0.0632522
12.308208192,0.0632082
12.313164192,0.0631642
12.318660192,0.0636602
12.323616192,0.0636162
12.328572192,0.0635722
12.333528192,0.0635282
12.338484192,0.0634842
12.343440192,0.0634402
12.348396192,0.0633962
12.353352192,0.0633522
12.358308192,0.0633082
12.363264192,0.0632642
12.368220192,0.0632202
12.373176192,0.0631762
12.378132192,0.0631322
12.383088192,0.0630882
12.388044192,0.0630442
12.393000192,0.0630002
12.397956192,0.0629562
12.402912192,0.0629122
12.407868192,0.0628682
12.412824192,0.0628242
12.418320192,0.0633202
12.423276192,0.0632762
12.428232192,0.0632322
12.433188192,0.0631882
12.438144192,0.0631442
12.443100192,0.0631002
12.448056192,0.0630562
12.453012192,0.0630122
12.457968192,0.0629682
12.463864192,0.0638642
12.468820192,0.0638202
12.473776192,0.0637762
12.478732192,0.0637322
12.483688192,0.0636882
12.488644192,0.0636442
12.493600192,0.0636002
12.498556192,0.0635562
12.503512192,0.0635122
12.508468192,0.0634682
12.513424192,0.0634242
12.518920192,0.0639202
12.523876192,0.0638762
12.528832192,0.0638322
12.533788192,0.0637882
12.538744192,0.0637442
12.543700192,0.0637002
12.548656192,0.0636562
12.553612192,0.0636122
12.558568192,0.0635682
12.563524192,0.0635242
12.568480192,0.0634802
12.573436192,0.0634362
12.578392192,0.0633922
12.583348192,0.0633482
12.588304192,0.0633042
12.593260192,0.0632602
12.598216192,0.0632162
12.603172192,0.0631722
12.608128192,0.0631282
12.613084192,0.0630842
12.618580192,0.0635802
12.623536192,0.0635362
12.628492192,0.0634922
12.633448192,0.0634482
12.638404192,0.0634042
12.643360192,0.0633602
12.648316192,0.0633162
12.653272192,0.0632722
12.658228192,0.0632282
12.664124192,0.0641242
12.669080192,0.0640802
12.674036192,0.0640362
12.678992192,0.0639922
12.683948192,0.0639482
12.688904192,0.0639042
12.693860192,0.0638602
12.698816192,0.0638162
12.703772192,0.0637722
12.708728192,0.0637282
12.713684192,0.0636842
12.719180192,0.0641802
12.724136192,0.0641362
12.729092192,0.0640922
12.734048192,0.0640482
12.739004192,0.0640042
12.743960192,0.0639602
12.748916192,0.0639162
12.753872192,0.0638722
12.758828192,0.0638282
12.763784192,0.0637842
12.768740192,0.0637402
12.773696192,0.0636962
12.778652192,0.0636522
12.783608192,0.0636082
12.788564192,0.0635642
