X,SimNet_simple.sPDC.udpApp[0]/endToEndDelay:vector
2.000946096,0.000946096
2.204390096,0.0043901
2.401878096,0.0018781
2.605502096,0.0055021
2.802990096,0.0029901
3.006434096,0.0064341
3.203922096,0.0039221
3.401410096,0.0014101
3.604854096,0.0048541
3.802342096,0.0023421
4.005786096,0.0057861
4.203274096,0.0032741
4.406718096,0.0067181
4.604206096,0.0042061
4.801694096,0.0016941
5.004602096,0.0046021
5.205702096,0.0057021
5.403190096,0.0031901
5.606634096,0.0066341
5.804122096,0.0041221
6.001610096,0.0016101
6.205054096,0.0050541
6.402542096,0.0025421
6.605986096,0.0059861
6.803474096,0.0034741
7.000962096,0.000962096
7.204406096,0.0044061
7.401894096,0.0018941
7.605338096,0.0053381
7.802826096,0.0028261
8.006270096,0.0062701
8.203758096,0.0037581
8.401246096,0.0012461
8.604690096,0.0046901
8.802178096,0.0021781
9.005622096,0.0056221
9.203650096,0.0036501
9.402218096,0.0022181
9.606742096,0.0067421
9.805310096,0.0053101
10.003878096,0.0038781
10.202446096,0.0024461
10.401014096,0.0010141
10.605538096,0.0055381
10.804106096,0.0041061
11.002674096,0.0026741
11.201242096,0.0012421
11.405766096,0.0057661
11.604334096,0.0043341
11.802902096,0.0029021
12.001470096,0.0014701
12.205994096,0.0059941
12.404562096,0.0045621
12.603130096,0.0031301
12.801698096,0.0016981
13.006222096,0.0062221
13.204790096,0.0047901
13.403358096,0.0033581
13.601926096,0.0019261
13.806450096,0.0064501
14.005018096,0.0050181
14.203586096,0.0035861
14.402154096,0.0021541
14.606678096,0.0066781
14.805246096,0.0052461
15.003814096,0.0038141
15.202382096,0.0023821
15.400950096,0.000950096
15.605474096,0.0054741
15.804042096,0.0040421
16.002610096,0.0026101
16.201178096,0.0011781
16.405702096,0.0057021
16.604270096,0.0042701
16.802838096,0.0028381
17.001406096,0.0014061
17.205930096,0.0059301
17.404498096,0.0044981
17.603066096,0.0030661
17.801634096,0.0016341
18.006158096,0.0061581
18.204726096,0.0047261
18.403294096,0.0032941
18.601862096,0.0018621
18.806386096,0.0063861
19.004954096,0.0049541
19.203522096,0.0035221
19.402090096,0.0020901
19.606614096,0.0066141
19.805182096,0.0051821
20.003750096,0.0037501
20.204550096,0.0045501
20.403118096,0.0031181
20.601686096,0.0016861
20.806210096,0.0062101
21.004778096,0.0047781
21.203346096,0.0033461
21.401914096,0.0019141
21.606438096,0.0064381
21.805006096,0.0050061
22.003574096,0.0035741
22.202142096,0.0021421
22.406666096,0.0066661
22.605234096,0.0052341
22.803802096,0.0038021
23.002370096,0.0023701
23.206894096,0.0068941
23.405462096,0.0054621
23.604030096,0.0040301
23.802598096,0.0025981
24.001166096,0.0011661
24.205690096,0.0056901
24.404258096,0.0042581
24.602826096,0.0028261
24.801394096,0.0013941
25.005918096,0.0059181
25.204486096,0.0044861
25.403054096,0.0030541
25.601622096,0.0016221
25.806146096,0.0061461
26.004714096,0.0047141
26.203282096,0.0032821
26.401850096,0.0018501
26.606374096,0.0063741
26.804942096,0.0049421
27.003510096,0.0035101
27.202078096,0.0020781
27.406602096,0.0066021
27.605170096,0.0051701
27.803738096,0.0037381
28.002306096,0.0023061
28.206830096,0.0068301
28.405398096,0.0053981
28.603966096,0.0039661
28.802534096,0.0025341
29.001102096,0.0011021
29.205626096,0.0056261
29.404194096,0.0041941
29.602762096,0.0027621
29.801330096,0.0013301
30.005854096,0.0058541
30.204422096,0.0044221
30.402990096,0.0029901
30.601558096,0.0015581
30.806082096,0.0060821
31.004650096,0.0046501
31.203218096,0.0032181
31.401786096,0.0017861
31.606310096,0.0063101
31.804878096,0.0048781
32.003446096,0.0034461
32.202014096,0.0020141
32.406538096,0.0065381
32.605106096,0.0051061
32.803674096,0.0036741
33.002242096,0.0022421
33.206766096,0.0067661
33.405334096,0.0053341
33.603902096,0.0039021
33.802470096,0.0024701
34.001038096,0.0010381
34.205562096,0.0055621
34.404130096,0.0041301
34.602698096,0.0026981
34.801266096,0.0012661
35.005790096,0.0057901
35.204358096,0.0043581
35.402926096,0.0029261
35.601494096,0.0014941
35.806018096,0.0060181
36.004586096,0.0045861
36.203154096,0.0031541
36.401722096,0.0017221
36.606246096,0.0062461
36.804814096,0.0048141
37.003382096,0.0033821
37.201950096,0.0019501
37.406474096,0.0064741
37.605042096,0.0050421
37.803610096,0.0036101
38.002178096,0.0021781
38.206702096,0.0067021
38.405270096,0.0052701
38.603838096,0.0038381
38.802406096,0.0024061
39.000974096,0.000974096
39.205498096,0.0054981
39.404066096,0.0040661
39.602634096,0.0026341
39.801202096,0.0012021
40.005726096,0.0057261
40.204294096,0.0042941
40.402862096,0.0028621
40.601430096,0.0014301
40.805954096,0.0059541
41.004522096,0.0045221
41.203090096,0.0030901
41.401658096,0.0016581
41.606182096,0.0061821
41.804750096,0.0047501
42.003318096,0.0033181
42.201886096,0.0018861
42.406410096,0.0064101
42.604978096,0.0049781
42.803546096,0.0035461
43.002114096,0.0021141
43.206638096,0.0066381
43.405206096,0.0052061
43.603774096,0.0037741
43.802342096,0.0023421
44.006866096,0.0068661
44.205434096,0.0054341
44.404002096,0.0040021
44.602570096,0.0025701
44.801138096,0.0011381
45.005662096,0.0056621
45.204230096,0.0042301
45.402798096,0.0027981
45.601366096,0.0013661
45.805890096,0.0058901
46.004458096,0.0044581
46.203026096,0.0030261
46.401594096,0.0015941
46.606118096,0.0061181
46.804686096,0.0046861
47.003254096,0.0032541
47.201822096,0.0018221
47.406346096,0.0063461
47.604914096,0.0049141
47.803482096,0.0034821
48.002050096,0.0020501
48.206574096,0.0065741
48.405142096,0.0051421
48.603710096,0.0037101
48.802278096,0.0022781
49.006802096,0.0068021
49.205370096,0.0053701
49.403938096,0.0039381
49.602506096,0.0025061
49.801074096,0.0010741
50.005598096,0.0055981
50.204166096,0.0041661
50.402734096,0.0027341
50.601302096,0.0013021
50.805826096,0.0058261
51.004394096,0.0043941
51.202962096,0.0029621
51.401530096,0.0015301
51.606054096,0.0060541
51.804622096,0.0046221
52.003190096,0.0031901
52.201758096,0.0017581
52.406282096,0.0062821
52.604850096,0.0048501
52.803418096,0.0034181
53.001986096,0.0019861
53.206510096,0.0065101
53.405078096,0.0050781
53.603646096,0.0036461
53.802214096,0.0022141
54.006738096,0.0067381
54.205306096,0.0053061
54.403874096,0.0038741
54.602442096,0.0024421
54.801010096,0.0010101
55.005534096,0.0055341
55.204102096,0.0041021
55.402670096,0.0026701
55.601238096,0.0012381
55.805762096,0.0057621
56.004330096,0.0043301
56.202898096,0.0028981
56.401466096,0.0014661
56.605990096,0.0059901
56.804558096,0.0045581
57.003126096,0.0031261
57.201694096,0.0016941
57.406218096,0.0062181
57.604786096,0.0047861
57.803354096,0.0033541
58.001922096,0.0019221
58.206446096,0.0064461
58.405014096,0.0050141
58.603582096,0.0035821
58.802150096,0.0021501
59.006674096,0.0066741
59.205242096,0.0052421
59.403810096,0.0038101
59.602378096,0.0023781
59.806902096,0.0069021
60.005470096,0.0054701
60.204038096,0.0040381
60.402606096,0.0026061
60.601174096,0.0011741
60.805698096,0.0056981
61.004266096,0.0042661
61.202834096,0.0028341
61.401402096,0.0014021
61.605926096,0.0059261
61.804494096,0.0044941
62.003062096,0.0030621
62.201630096,0.0016301
62.406154096,0.0061541
62.604722096,0.0047221
62.803290096,0.0032901
63.001858096,0.0018581
63.206382096,0.0063821
63.404950096,0.0049501
63.603518096,0.0035181
63.802086096,0.0020861
64.006610096,0.0066101
64.205598096,0.0055981
64.403086096,0.0030861
64.606530096,0.0065301
64.804018096,0.0040181
65.001506096,0.0015061
65.204950096,0.0049501
65.402438096,0.0024381
65.605882096,0.0058821
65.803370096,0.0033701
66.006814096,0.0068141
66.204302096,0.0043021
66.401790096,0.0017901
66.605234096,0.0052341
66.802722096,0.0027221
67.006166096,0.0061661
67.203654096,0.0036541
67.401142096,0.0011421
67.604586096,0.0045861
67.802074096,0.0020741
68.005518096,0.0055181
68.203006096,0.0030061
68.406450096,0.0064501
68.603938096,0.0039381
68.801426096,0.0014261
69.004870096,0.0048701
69.202358096,0.0023581
69.405802096,0.0058021
69.603290096,0.0032901
69.806734096,0.0067341
