X,SimNet_simple.sPDC.udpApp[0]/endToEndDelay:vector
2.000946096,0.000946096
2.200946096,0.000946096
2.400946096,0.000946096
2.600946096,0.000946096
2.800946096,0.000946096
3.000946096,0.000946096
3.200946096,0.000946096
3.400946096,0.000946096
3.600946096,0.000946096
3.800946096,0.000946096
4.000946096,0.000946096
4.200946096,0.000946096
4.400946096,0.000946096
4.600946096,0.000946096
4.800946096,0.000946096
5.001108224,0.00110822
5.203552224,0.00355222
5.403996224,0.00399622
5.605288224,0.00528822
5.804468224,0.00446822
6.003648224,0.00364822
6.202828224,0.00282822
6.402008224,0.00200822
6.601188224,0.00118822
6.805324224,0.00532422
7.004504224,0.00450422
7.203684224,0.00368422
7.402864224,0.00286422
7.602044224,0.00204422
7.801224224,0.00122422
8.005360224,0.00536022
8.204540224,0.00454022
8.403720224,0.00372022
8.602900224,0.00290022
8.802080224,0.00208022
9.001260224,0.00126022
9.205396224,0.00539622
9.404576224,0.00457622
9.603756224,0.00375622
9.802936224,0.00293622
10.003196224,0.00319622
10.203456224,0.00345622
10.403716224,0.00371622
10.603976224,0.00397622
10.804236224,0.00423622
11.004496224,0.00449622
11.204756224,0.00475622
11.405016224,0.00501622
11.605276224,0.00527622
11.805536224,0.00553622
12.005796224,0.00579622
12.201100224,0.00110022
12.401360224,0.00136022
12.601620224,0.00162022
12.801880224,0.00188022
13.002140224,0.00214022
13.202400224,0.00240022
13.402660224,0.00266022
13.602920224,0.00292022
13.803180224,0.00318022
14.003440224,0.00344022
14.203700224,0.00370022
14.403960224,0.00396022
14.604220224,0.00422022
14.804480224,0.00448022
15.004740224,0.00474022
15.205000224,0.00500022
15.405260224,0.00526022
15.605520224,0.00552022
15.805780224,0.00578022
16.001084224,0.00108422
16.201344224,0.00134422
16.401604224,0.00160422
16.601864224,0.00186422
16.802124224,0.00212422
17.002384224,0.00238422
17.202644224,0.00264422
17.402904224,0.00290422
17.603164224,0.00316422
17.803424224,0.00342422
18.003684224,0.00368422
18.203944224,0.00394422
18.404204224,0.00420422
18.604464224,0.00446422
18.804724224,0.00472422
19.004984224,0.00498422
19.205244224,0.00524422
19.405504224,0.00550422
19.605764224,0.00576422
19.801068224,0.00106822
20.001328224,0.00132822
20.201588224,0.00158822
20.401848224,0.00184822
20.602108224,0.00210822
20.802368224,0.00236822
21.002628224,0.00262822
21.202888224,0.00288822
21.403148224,0.00314822
21.603408224,0.00340822
21.803668224,0.00366822
22.003928224,0.00392822
22.204188224,0.00418822
22.404448224,0.00444822
22.604708224,0.00470822
22.804968224,0.00496822
23.005228224,0.00522822
23.205488224,0.00548822
23.405748224,0.00574822
23.601052224,0.00105222
23.801312224,0.00131222
24.001572224,0.00157222
24.201832224,0.00183222
24.402092224,0.00209222
24.602352224,0.00235222
24.802612224,0.00261222
25.002872224,0.00287222
25.203132224,0.00313222
25.403392224,0.00339222
25.603652224,0.00365222
25.803912224,0.00391222
26.004172224,0.00417222
26.204432224,0.00443222
26.404692224,0.00469222
26.604952224,0.00495222
26.805212224,0.00521222
27.005472224,0.00547222
27.205732224,0.00573222
27.401036224,0.00103622
