X,SimNet_simple.sPDC.udpApp[0]/endToEndDelay:vector
2.040946096,0.0409461
2.240946096,0.0409461
2.440946096,0.0409461
2.640946096,0.0409461
2.840946096,0.0409461
3.040946096,0.0409461
3.240946096,0.0409461
3.440946096,0.0409461
3.640946096,0.0409461
3.840946096,0.0409461
4.042364224,0.0423642
4.244068224,0.0440682
4.445360224,0.0453602
4.644540224,0.0445402
4.843720224,0.0437202
5.042900224,0.0429002
5.242260224,0.0422602
5.441440224,0.0414402
5.645576224,0.0455762
5.844756224,0.0447562
6.043936224,0.0439362
6.243116224,0.0431162
6.442296224,0.0422962
6.641476224,0.0414762
6.845612224,0.0456122
7.044792224,0.0447922
7.243972224,0.0439722
7.443152224,0.0431522
7.642332224,0.0423322
7.841512224,0.0415122
8.040946096,0.0409461
8.241206096,0.0412061
8.441466096,0.0414661
8.641726096,0.0417261
8.841986096,0.0419861
9.042246096,0.0422461
9.242506096,0.0425061
9.442766096,0.0427661
9.643026096,0.0430261
9.843286096,0.0432861
10.043546096,0.0435461
10.243806096,0.0438061
10.444066096,0.0440661
10.644326096,0.0443261
10.844586096,0.0445861
11.044846096,0.0448461
11.245106096,0.0451061
11.445366096,0.0453661
11.645626096,0.0456261
11.845886096,0.0458861
12.041190096,0.0411901
12.241450096,0.0414501
12.441710096,0.0417101
12.641970096,0.0419701
12.842230096,0.0422301
13.042490096,0.0424901
13.242750096,0.0427501
13.443010096,0.0430101
13.643270096,0.0432701
13.843530096,0.0435301
14.043790096,0.0437901
14.244050096,0.0440501
14.444310096,0.0443101
14.644570096,0.0445701
14.844830096,0.0448301
15.045090096,0.0450901
15.245350096,0.0453501
15.445610096,0.0456101
15.645870096,0.0458701
15.841174096,0.0411741
16.041434096,0.0414341
16.241694096,0.0416941
16.441954096,0.0419541
16.642214096,0.0422141
16.842474096,0.0424741
17.042734096,0.0427341
17.242994096,0.0429941
17.443254096,0.0432541
17.643514096,0.0435141
17.843774096,0.0437741
18.044034096,0.0440341
18.244294096,0.0442941
18.444554096,0.0445541
18.644814096,0.0448141
18.845074096,0.0450741
19.045334096,0.0453341
19.245594096,0.0455941
19.445854096,0.0458541
19.641158096,0.0411581
19.841418096,0.0414181
20.041678096,0.0416781
20.241938096,0.0419381
20.442198096,0.0421981
20.642458096,0.0424581
20.842718096,0.0427181
21.042978096,0.0429781
21.243238096,0.0432381
21.443498096,0.0434981
21.643758096,0.0437581
21.844018096,0.0440181
22.044278096,0.0442781
22.244538096,0.0445381
22.444798096,0.0447981
22.645058096,0.0450581
22.845318096,0.0453181
23.045578096,0.0455781
23.245838096,0.0458381
23.441142096,0.0411421
23.641402096,0.0414021
23.841662096,0.0416621
24.041922096,0.0419221
24.242182096,0.0421821
24.442442096,0.0424421
24.642702096,0.0427021
24.842962096,0.0429621
25.043222096,0.0432221
25.243482096,0.0434821
25.443742096,0.0437421
25.644002096,0.0440021
25.844262096,0.0442621
26.044522096,0.0445221
26.244782096,0.0447821
26.445042096,0.0450421
26.645302096,0.0453021
26.845562096,0.0455621
27.045822096,0.0458221
27.241126096,0.0411261
27.441386096,0.0413861
27.641646096,0.0416461
27.841906096,0.0419061
28.042166096,0.0421661
28.242426096,0.0424261
28.442686096,0.0426861
28.642946096,0.0429461
28.843206096,0.0432061
29.043466096,0.0434661
29.243726096,0.0437261
29.443986096,0.0439861
29.644246096,0.0442461
29.844506096,0.0445061
30.044766096,0.0447661
30.245026096,0.0450261
30.445286096,0.0452861
30.645546096,0.0455461
30.845806096,0.0458061
31.041110096,0.0411101
31.241370096,0.0413701
31.441786096,0.0417861
31.642046096,0.0420461
31.842306096,0.0423061
32.042566096,0.0425661
32.242826096,0.0428261
32.443086096,0.0430861
32.643346096,0.0433461
32.843606096,0.0436061
33.043866096,0.0438661
33.244126096,0.0441261
33.444386096,0.0443861
