X,SimNet_simple.Receiver.udpApp[0]/endToEndDelay:vector
10.002960192,0.60296
10.009856192,0.604856
10.015812192,0.605812
10.021768192,0.606768
10.027724192,0.602724
10.033680192,0.60368
10.039636192,0.604636
10.045592192,0.605592
10.051548192,0.606548
10.057504192,0.607504
10.063460192,0.60346
10.069416192,0.604416
10.075912192,0.605912
10.081868192,0.606868
10.087824192,0.602824
10.093780192,0.60378
10.099736192,0.604736
10.105692192,0.605692
10.111648192,0.606648
10.117604192,0.607604
10.123560192,0.60356
10.129516192,0.604516
10.135472192,0.605472
10.141428192,0.606428
10.147384192,0.607384
10.153340192,0.60334
10.159296192,0.604296
10.165252192,0.605252
10.171208192,0.606208
10.177704192,0.602704
10.183660192,0.60366
10.189616192,0.604616
10.195572192,0.605572
10.201528192,0.606528
10.208424192,0.608424
10.214380192,0.60438
10.220336192,0.605336
10.226292192,0.606292
10.232248192,0.607248
10.238204192,0.603204
10.244160192,0.60416
10.250116192,0.605116
10.256072192,0.606072
10.262028192,0.607028
10.267984192,0.602984
10.274480192,0.60448
10.280436192,0.605436
10.286392192,0.606392
10.292348192,0.607348
10.298304192,0.603304
10.304260192,0.60426
10.310216192,0.605216
10.316172192,0.606172
10.322128192,0.607128
10.328084192,0.603084
10.334040192,0.60404
10.339996192,0.604996
10.345952192,0.605952
10.351908192,0.606908
10.357864192,0.602864
10.363820192,0.60382
10.369776192,0.604776
10.376272192,0.606272
10.382228192,0.607228
10.388184192,0.603184
10.394140192,0.60414
10.400096192,0.605096
10.406992192,0.606992
10.412948192,0.602948
10.418904192,0.603904
10.424860192,0.60486
10.430816192,0.605816
10.436772192,0.606772
10.442728192,0.602728
10.448684192,0.603684
10.454640192,0.60464
10.460596192,0.605596
10.466552192,0.606552
10.473048192,0.608048
10.479004192,0.604004
10.484960192,0.60496
10.490916192,0.605916
10.496872192,0.606872
10.502828192,0.602828
10.508784192,0.603784
10.514740192,0.60474
10.520696192,0.605696
10.526652192,0.606652
10.532608192,0.607608
10.538564192,0.603564
10.544520192,0.60452
10.550476192,0.605476
10.556432192,0.606432
10.562388192,0.607388
10.568344192,0.603344
10.574840192,0.60484
10.580796192,0.605796
10.586752192,0.606752
10.592708192,0.602708
10.598664192,0.603664
10.604620192,0.60462
10.611516192,0.606516
10.617472192,0.607472
10.623428192,0.603428
10.629384192,0.604384
10.635340192,0.60534
10.641296192,0.606296
10.647252192,0.607252
10.653208192,0.603208
10.659164192,0.604164
10.665120192,0.60512
10.671076192,0.606076
10.677572192,0.607572
10.683528192,0.603528
10.689484192,0.604484
10.695440192,0.60544
10.701396192,0.606396
10.707352192,0.607352
10.713308192,0.603308
10.719264192,0.604264
10.725220192,0.60522
10.731176192,0.606176
10.737132192,0.607132
10.743088192,0.603088
10.749044192,0.604044
10.755000192,0.605
10.760956192,0.605956
10.766912192,0.606912
10.773408192,0.603408
10.779364192,0.604364
10.785320192,0.60532
10.791276192,0.606276
10.797232192,0.607232
10.803188192,0.603188
10.810084192,0.605084
10.816040192,0.60604
10.821996192,0.606996
10.827952192,0.602952
10.833908192,0.603908
10.839864192,0.604864
10.845820192,0.60582
10.851776192,0.606776
10.857732192,0.602732
10.863688192,0.603688
10.869644192,0.604644
10.876140192,0.60614
10.882096192,0.607096
10.888052192,0.603052
10.894008192,0.604008
10.899964192,0.604964
