X,SimNet_simple.sPDC.udpApp[0]/endToEndDelay:vector
2.020946096,0.0209461
2.220946096,0.0209461
2.420946096,0.0209461
2.620946096,0.0209461
2.820946096,0.0209461
3.020946096,0.0209461
3.220946096,0.0209461
3.441922096,0.0419221
3.644718096,0.0447181
3.843898096,0.0438981
4.043078096,0.0430781
4.242258096,0.0422581
4.441438096,0.0414381
4.640618096,0.0406181
4.839798096,0.0397981
5.039158096,0.0391581
5.238338096,0.0383381
5.437518096,0.0375181
5.636698096,0.0366981
5.835878096,0.0358781
6.035058096,0.0350581
6.234238096,0.0342381
6.433418096,0.0334181
6.632598096,0.0325981
6.831778096,0.0317781
7.030958096,0.0309581
7.230138096,0.0301381
7.429318096,0.0293181
7.628498096,0.0284981
7.827678096,0.0276781
8.027398096,0.0273981
8.227658096,0.0276581
8.427918096,0.0279181
8.628178096,0.0281781
8.828438096,0.0284381
9.028698096,0.0286981
9.228958096,0.0289581
9.429218096,0.0292181
9.629478096,0.0294781
9.829738096,0.0297381
10.029998096,0.0299981
10.230258096,0.0302581
10.430518096,0.0305181
10.630778096,0.0307781
10.831038096,0.0310381
11.031298096,0.0312981
11.231558096,0.0315581
11.431818096,0.0318181
11.632078096,0.0320781
11.832338096,0.0323381
12.034834096,0.0348341
12.235094096,0.0350941
12.435354096,0.0353541
12.635614096,0.0356141
12.835874096,0.0358741
13.036134096,0.0361341
13.236394096,0.0363941
13.436654096,0.0366541
13.636914096,0.0369141
13.837174096,0.0371741
14.037434096,0.0374341
14.237694096,0.0376941
14.437954096,0.0379541
14.638214096,0.0382141
14.838474096,0.0384741
15.038734096,0.0387341
15.238994096,0.0389941
15.439254096,0.0392541
15.639514096,0.0395141
15.839774096,0.0397741
16.040034096,0.0400341
16.240294096,0.0402941
16.440554096,0.0405541
16.640814096,0.0408141
16.841074096,0.0410741
17.041334096,0.0413341
17.241594096,0.0415941
17.441854096,0.0418541
17.642114096,0.0421141
17.842374096,0.0423741
18.042634096,0.0426341
18.242894096,0.0428941
18.443154096,0.0431541
18.643414096,0.0434141
18.843674096,0.0436741
19.043934096,0.0439341
19.244194096,0.0441941
19.444454096,0.0444541
19.644714096,0.0447141
19.844974096,0.0449741
20.045234096,0.0452341
20.245494096,0.0454941
20.445754096,0.0457541
20.646014096,0.0460141
20.846274096,0.0462741
21.046534096,0.0465341
21.246794096,0.0467941
21.447054096,0.0470541
21.647314096,0.0473141
21.847574096,0.0475741
22.047834096,0.0478341
22.248094096,0.0480941
22.448354096,0.0483541
22.648614096,0.0486141
22.848874096,0.0488741
23.049134096,0.0491341
23.249394096,0.0493941
23.449654096,0.0496541
23.649914096,0.0499141
23.850174096,0.0501741
24.050434096,0.0504341
24.250694096,0.0506941
24.450954096,0.0509541
24.651214096,0.0512141
24.851474096,0.0514741
25.051734096,0.0517341
25.251994096,0.0519941
25.452254096,0.0522541
25.652514096,0.0525141
25.852774096,0.0527741
26.053034096,0.0530341
26.253294096,0.0532941
26.453554096,0.0535541
26.653814096,0.0538141
26.854074096,0.0540741
27.054334096,0.0543341
27.254594096,0.0545941
27.454854096,0.0548541
27.655114096,0.0551141
27.855374096,0.0553741
28.055634096,0.0556341
28.255894096,0.0558941
28.456154096,0.0561541
28.656414096,0.0564141
28.856674096,0.0566741
29.056934096,0.0569341
29.257194096,0.0571941
29.457454096,0.0574541
29.657714096,0.0577141
29.857974096,0.0579741
30.058234096,0.0582341
30.258494096,0.0584941
30.458754096,0.0587541
30.659014096,0.0590141
30.859274096,0.0592741
31.059534096,0.0595341
31.259794096,0.0597941
31.460210096,0.0602101
31.660470096,0.0604701
31.860730096,0.0607301
32.060990096,0.0609901
32.261250096,0.0612501
32.461510096,0.0615101
32.661770096,0.0617701
32.862030096,0.0620301
33.062290096,0.0622901
33.262550096,0.0625501
33.462810096,0.0628101
33.663070096,0.0630701
33.863330096,0.0633301
34.063590096,0.0635901
34.263850096,0.0638501
34.464110096,0.0641101
34.664370096,0.0643701
34.864630096,0.0646301
35.065070096,0.0650701
35.265330096,0.0653301
35.465590096,0.0655901
35.665850096,0.0658501
35.866110096,0.0661101
36.066370096,0.0663701
36.266630096,0.0666301
36.466890096,0.0668901
36.667150096,0.0671501
36.867410096,0.0674101
37.067670096,0.0676701
