X,SimNet_simple.Receiver.udpApp[0]/endToEndDelay:vector
10.004820192,0.0548202
10.009776192,0.0547762
10.014732192,0.0547322
10.019688192,0.0546882
10.024644192,0.0546442
10.029600192,0.0546002
10.034556192,0.0545562
10.039512192,0.0545122
10.045008192,0.0550082
10.049964192,0.0549642
10.055860192,0.0558602
10.060816192,0.0558162
10.065772192,0.0557722
10.070728192,0.0557282
10.075684192,0.0556842
10.080640192,0.0556402
10.085596192,0.0555962
10.090552192,0.0555522
10.095508192,0.0555082
10.100464192,0.0554642
10.105420192,0.0554202
10.110376192,0.0553762
10.115332192,0.0553322
10.120288192,0.0552882
10.125244192,0.0552442
10.130200192,0.0552002
10.135156192,0.0551562
10.140112192,0.0551122
10.145608192,0.0556082
10.150564192,0.0555642
10.155520192,0.0555202
10.160476192,0.0554762
10.165432192,0.0554322
10.170388192,0.0553882
10.175344192,0.0553442
10.180300192,0.0553002
10.185256192,0.0552562
10.190212192,0.0552122
10.195168192,0.0551682
10.200124192,0.0551242
10.205080192,0.0550802
10.210036192,0.0550362
10.214992192,0.0549922
10.219948192,0.0549482
10.224904192,0.0549042
10.229860192,0.0548602
10.234816192,0.0548162
10.239772192,0.0547722
10.245268192,0.0552682
10.250224192,0.0552242
10.256120192,0.0561202
10.261076192,0.0560762
10.266032192,0.0560322
10.270988192,0.0559882
10.275944192,0.0559442
10.280900192,0.0559002
10.285856192,0.0558562
10.290812192,0.0558122
10.295768192,0.0557682
10.300724192,0.0557242
10.305680192,0.0556802
10.310636192,0.0556362
10.315592192,0.0555922
10.320548192,0.0555482
10.325504192,0.0555042
10.330460192,0.0554602
10.335416192,0.0554162
10.340372192,0.0553722
10.345868192,0.0558682
10.350824192,0.0558242
10.355780192,0.0557802
10.360736192,0.0557362
10.365692192,0.0556922
10.370648192,0.0556482
10.375604192,0.0556042
10.380560192,0.0555602
10.385516192,0.0555162
10.390472192,0.0554722
10.395428192,0.0554282
10.400384192,0.0553842
10.405340192,0.0553402
10.410296192,0.0552962
10.415252192,0.0552522
10.420208192,0.0552082
10.425164192,0.0551642
10.430120192,0.0551202
10.435076192,0.0550762
10.440032192,0.0550322
10.445528192,0.0555282
10.450484192,0.0554842
10.456380192,0.0563802
10.461336192,0.0563362
10.466292192,0.0562922
10.471248192,0.0562482
10.476204192,0.0562042
10.481160192,0.0561602
10.486116192,0.0561162
10.491072192,0.0560722
10.496028192,0.0560282
10.500984192,0.0559842
10.505940192,0.0559402
10.510896192,0.0558962
10.515852192,0.0558522
10.520808192,0.0558082
10.525764192,0.0557642
10.530720192,0.0557202
10.535676192,0.0556762
10.540632192,0.0556322
10.546128192,0.0561282
10.551084192,0.0560842
10.556040192,0.0560402
10.560996192,0.0559962
10.565952192,0.0559522
10.570908192,0.0559082
10.575864192,0.0558642
10.580820192,0.0558202
10.585776192,0.0557762
10.590732192,0.0557322
10.595688192,0.0556882
10.600644192,0.0556442
10.605600192,0.0556002
10.610556192,0.0555562
10.615512192,0.0555122
10.620468192,0.0554682
10.625424192,0.0554242
10.630380192,0.0553802
10.635336192,0.0553362
10.640292192,0.0552922
10.645788192,0.0557882
10.650744192,0.0557442
10.656640192,0.0566402
10.661596192,0.0565962
10.666552192,0.0565522
10.671508192,0.0565082
10.676464192,0.0564642
10.681420192,0.0564202
10.686376192,0.0563762
10.691332192,0.0563322
10.696288192,0.0562882
10.701244192,0.0562442
10.706200192,0.0562002
10.711156192,0.0561562
10.716112192,0.0561122
10.721068192,0.0560682
10.726024192,0.0560242
10.730980192,0.0559802
10.735936192,0.0559362
10.740892192,0.0558922
10.746388192,0.0563882
10.751344192,0.0563442
10.756300192,0.0563002
10.761256192,0.0562562
10.766212192,0.0562122
10.771168192,0.0561682
10.776124192,0.0561242
10.781080192,0.0560802
10.786036192,0.0560362
10.790992192,0.0559922
10.795948192,0.0559482
10.800904192,0.0559042
10.805860192,0.0558602
10.810816192,0.0558162
10.815772192,0.0557722
10.820728192,0.0557282
10.825684192,0.0556842
10.830640192,0.0556402
10.835596192,0.0555962
10.840552192,0.0555522
10.846048192,0.0560482
10.851004192,0.0560042
10.856900192,0.0569002
10.861856192,0.0568562
10.866812192,0.0568122
10.871768192,0.0567682
10.876724192,0.0567242
10.881680192,0.0566802
10.886636192,0.0566362
10.891592192,0.0565922
10.896548192,0.0565482
10.901504192,0.0565042
10.906460192,0.0564602
10.911416192,0.0564162
10.916372192,0.0563722
10.921328192,0.0563282
10.926284192,0.0562842
10.931240192,0.0562402
10.936196192,0.0561962
10.941152192,0.0561522
10.946648192,0.0566482
10.951604192,0.0566042
10.956560192,0.0565602
10.961516192,0.0565162
10.966472192,0.0564722
10.971428192,0.0564282
10.976384192,0.0563842
10.981340192,0.0563402
10.986296192,0.0562962
10.991252192,0.0562522
10.996208192,0.0562082
11.001164192,0.0561642
11.006120192,0.0561202
11.011076192,0.0560762
11.016032192,0.0560322
11.020988192,0.0559882
11.025944192,0.0559442
11.030900192,0.0559002
11.035856192,0.0558562
11.040812192,0.0558122
11.046308192,0.0563082
11.051264192,0.0562642
11.057160192,0.0571602
11.062116192,0.0571162
11.067072192,0.0570722
11.072028192,0.0570282
11.076984192,0.0569842
11.081940192,0.0569402
11.086896192,0.0568962
11.091852192,0.0568522
11.096808192,0.0568082
11.101764192,0.0567642
11.106720192,0.0567202
11.111676192,0.0566762
11.116632192,0.0566322
11.121588192,0.0565882
11.126544192,0.0565442
11.131500192,0.0565002
11.136456192,0.0564562
11.141412192,0.0564122
11.146908192,0.0569082
11.151864192,0.0568642
11.156820192,0.0568202
11.161776192,0.0567762
11.166732192,0.0567322
11.171688192,0.0566882
11.176644192,0.0566442
11.181600192,0.0566002
11.186556192,0.0565562
11.191512192,0.0565122
11.196468192,0.0564682
11.201424192,0.0564242
11.206380192,0.0563802
11.211336192,0.0563362
11.216292192,0.0562922
11.221248192,0.0562482
11.226204192,0.0562042
11.231160192,0.0561602
11.236116192,0.0561162
11.241072192,0.0560722
11.246568192,0.0565682
11.251524192,0.0565242
11.257420192,0.0574202
11.262376192,0.0573762
11.267332192,0.0573322
11.272288192,0.0572882
