X,SimNet_simple.sPDC.udpApp[0]/endToEndDelay:vector
2.040946096,0.0409461
2.244390096,0.0443901
2.441878096,0.0418781
2.645502096,0.0455021
2.842990096,0.0429901
3.046434096,0.0464341
3.243922096,0.0439221
3.441410096,0.0414101
3.644854096,0.0448541
3.842342096,0.0423421
4.045786096,0.0457861
4.243274096,0.0432741
4.446718096,0.0467181
4.644206096,0.0442061
4.841694096,0.0416941
5.045138096,0.0451381
5.242626096,0.0426261
5.446070096,0.0460701
5.643558096,0.0435581
5.841046096,0.0410461
6.044490096,0.0444901
6.241978096,0.0419781
6.445422096,0.0454221
6.642910096,0.0429101
6.846354096,0.0463541
7.043842096,0.0438421
7.241330096,0.0413301
7.444774096,0.0447741
7.642262096,0.0422621
7.845706096,0.0457061
8.043194096,0.0431941
8.246638096,0.0466381
8.444126096,0.0441261
8.641614096,0.0416141
8.845058096,0.0450581
9.042546096,0.0425461
9.245990096,0.0459901
9.443478096,0.0434781
9.640966096,0.0409661
9.844410096,0.0444101
10.041898096,0.0418981
10.245342096,0.0453421
10.442830096,0.0428301
10.646274096,0.0462741
10.843762096,0.0437621
11.041250096,0.0412501
11.244694096,0.0446941
11.442182096,0.0421821
11.645626096,0.0456261
11.843114096,0.0431141
12.046558096,0.0465581
12.244046096,0.0440461
12.441534096,0.0415341
12.644978096,0.0449781
12.842466096,0.0424661
13.045910096,0.0459101
13.243398096,0.0433981
13.446842096,0.0468421
13.644330096,0.0443301
13.841818096,0.0418181
14.045262096,0.0452621
14.242750096,0.0427501
14.446194096,0.0461941
14.643682096,0.0436821
14.841710096,0.0417101
15.046234096,0.0462341
15.244802096,0.0448021
15.443370096,0.0433701
15.641938096,0.0419381
15.846462096,0.0464621
16.045030096,0.0450301
16.243598096,0.0435981
16.442166096,0.0421661
16.646690096,0.0466901
16.845258096,0.0452581
17.043826096,0.0438261
17.242394096,0.0423941
17.440962096,0.0409621
17.645486096,0.0454861
17.844054096,0.0440541
18.042622096,0.0426221
18.241190096,0.0411901
18.445714096,0.0457141
18.644282096,0.0442821
18.842850096,0.0428501
19.041418096,0.0414181
19.245942096,0.0459421
19.444510096,0.0445101
19.643078096,0.0430781
19.841646096,0.0416461
20.046170096,0.0461701
20.244738096,0.0447381
20.443306096,0.0433061
20.641874096,0.0418741
20.846398096,0.0463981
21.044966096,0.0449661
21.243534096,0.0435341
21.442102096,0.0421021
21.646626096,0.0466261
21.845194096,0.0451941
22.043762096,0.0437621
22.242330096,0.0423301
22.446854096,0.0468541
22.645422096,0.0454221
22.843990096,0.0439901
23.042558096,0.0425581
23.241126096,0.0411261
23.445650096,0.0456501
23.644218096,0.0442181
23.842786096,0.0427861
24.041354096,0.0413541
24.245878096,0.0458781
24.444446096,0.0444461
24.643014096,0.0430141
24.841582096,0.0415821
25.046106096,0.0461061
25.244674096,0.0446741
25.443242096,0.0432421
25.641810096,0.0418101
25.846334096,0.0463341
26.044902096,0.0449021
26.243470096,0.0434701
26.442038096,0.0420381
26.646562096,0.0465621
26.845130096,0.0451301
27.043698096,0.0436981
27.242266096,0.0422661
27.446790096,0.0467901
27.645358096,0.0453581
27.843926096,0.0439261
28.042494096,0.0424941
28.241062096,0.0410621
28.445586096,0.0455861
28.644154096,0.0441541
28.842722096,0.0427221
29.041290096,0.0412901
29.245814096,0.0458141
29.444382096,0.0443821
29.642950096,0.0429501
29.841518096,0.0415181
30.046042096,0.0460421
30.244610096,0.0446101
30.443178096,0.0431781
30.641746096,0.0417461
30.846270096,0.0462701
31.044838096,0.0448381
31.243406096,0.0434061
31.441974096,0.0419741
31.646498096,0.0464981
31.845066096,0.0450661
32.043790096,0.0437901
32.242358096,0.0423581
32.446882096,0.0468821
32.645450096,0.0454501
32.844018096,0.0440181
33.042586096,0.0425861
33.241154096,0.0411541
33.445678096,0.0456781
33.644246096,0.0442461
33.842814096,0.0428141
34.041382096,0.0413821
34.245906096,0.0459061
34.444474096,0.0444741
34.643042096,0.0430421
34.841610096,0.0416101
35.046134096,0.0461341
35.244702096,0.0447021
35.443270096,0.0432701
35.641838096,0.0418381
35.846362096,0.0463621
36.044930096,0.0449301
36.243498096,0.0434981
36.442066096,0.0420661
36.646590096,0.0465901
36.845158096,0.0451581
37.043726096,0.0437261
37.242294096,0.0422941
37.446818096,0.0468181
37.645386096,0.0453861
37.843954096,0.0439541
38.042522096,0.0425221
38.241090096,0.0410901
38.445614096,0.0456141
38.644182096,0.0441821
38.842750096,0.0427501
39.041318096,0.0413181
39.245842096,0.0458421
39.444410096,0.0444101
39.642978096,0.0429781
39.841546096,0.0415461
40.046070096,0.0460701
40.244638096,0.0446381
40.443206096,0.0432061
40.641774096,0.0417741
40.846298096,0.0462981
41.044866096,0.0448661
41.243434096,0.0434341
41.442002096,0.0420021
41.646526096,0.0465261
41.845094096,0.0450941
42.043662096,0.0436621
42.242230096,0.0422301
42.446754096,0.0467541
42.645322096,0.0453221
42.843890096,0.0438901
43.042458096,0.0424581
43.241026096,0.0410261
43.445550096,0.0455501
43.644118096,0.0441181
43.842686096,0.0426861
44.041254096,0.0412541
44.245778096,0.0457781
44.444346096,0.0443461
44.642914096,0.0429141
44.841482096,0.0414821
45.046006096,0.0460061
45.244574096,0.0445741
45.443142096,0.0431421
45.641710096,0.0417101
45.846234096,0.0462341
46.044802096,0.0448021
46.243370096,0.0433701
46.441938096,0.0419381
46.646462096,0.0464621
46.845030096,0.0450301
47.043598096,0.0435981
47.242166096,0.0421661
47.446690096,0.0466901
47.645258096,0.0452581
47.843826096,0.0438261
48.042394096,0.0423941
48.240962096,0.0409621
48.445486096,0.0454861
48.644054096,0.0440541
48.842622096,0.0426221
49.041190096,0.0411901
49.245714096,0.0457141
49.444282096,0.0442821
49.642850096,0.0428501
49.841418096,0.0414181
50.045942096,0.0459421
50.244510096,0.0445101
50.443078096,0.0430781
50.641646096,0.0416461
50.846170096,0.0461701
51.044738096,0.0447381
51.243306096,0.0433061
51.441874096,0.0418741
51.646398096,0.0463981
51.844966096,0.0449661
52.043534096,0.0435341
52.242102096,0.0421021
52.446626096,0.0466261
52.645194096,0.0451941
52.843762096,0.0437621
53.042330096,0.0423301
53.246854096,0.0468541
53.445422096,0.0454221
53.643990096,0.0439901
53.842558096,0.0425581
54.041126096,0.0411261
54.245650096,0.0456501
54.444218096,0.0442181
54.642786096,0.0427861
54.841354096,0.0413541
55.045878096,0.0458781
55.244446096,0.0444461
55.443014096,0.0430141
55.641582096,0.0415821
55.846106096,0.0461061
56.044674096,0.0446741
56.243242096,0.0432421
56.441810096,0.0418101
56.646334096,0.0463341
56.844902096,0.0449021
57.043470096,0.0434701
57.242038096,0.0420381
57.446562096,0.0465621
57.645130096,0.0451301
57.843698096,0.0436981
58.042266096,0.0422661
58.246790096,0.0467901
58.445358096,0.0453581
58.643926096,0.0439261
58.842494096,0.0424941
59.041062096,0.0410621
59.245586096,0.0455861
59.444154096,0.0441541
59.642722096,0.0427221
59.841290096,0.0412901
60.045814096,0.0458141
60.244382096,0.0443821
60.442950096,0.0429501
60.641518096,0.0415181
60.846042096,0.0460421
61.044610096,0.0446101
61.243178096,0.0431781
61.441746096,0.0417461
